model,method,timing_scope,profile_batch_size,min_effective_batch_size,max_effective_batch_size,n_instances,native_cap_s,policy_s,speedup_x,time_saved_pct
Chronos2-Base,balanced,official_call_wall,32,32,32,366658,781.1708927741274,713.4219956072047,1.094963286223409,8.672737014858544
Chronos2-Base,efficiency,official_call_wall,32,32,32,366658,781.1708927741274,384.5160127254203,2.0315692114802903,50.77696618214862
Chronos2-Base,max_efficiency,official_call_wall,32,32,32,366658,781.1708927741274,347.6556098954752,2.2469676039716178,55.49557553778459
Chronos2-Base,balanced,isolated_core,32,32,32,366658,753.1437258205414,685.9229262332916,1.0980005143673928,8.925361426069568
Chronos2-Base,efficiency,isolated_core,32,32,32,366658,753.1437258205414,359.88137867355346,2.0927554756972135,52.21610878037033
Chronos2-Base,max_efficiency,isolated_core,32,32,32,366658,753.1437258205414,323.32539098548887,2.3293677107293536,57.069895173961704
Chronos2-Small,balanced,official_call_wall,32,32,32,366634,278.691952473484,257.73346650693566,1.0813184498334614,7.520305405496918
Chronos2-Small,efficiency,official_call_wall,32,32,32,366634,278.691952473484,170.21958978939801,1.637249583425104,38.92195727984162
Chronos2-Small,max_efficiency,official_call_wall,32,32,32,366634,278.691952473484,159.85595582053065,1.7433942391634742,42.640627258248486
Chronos2-Small,balanced,isolated_core,32,32,32,366634,251.6764766330719,230.80440852451324,1.090431843316987,8.293213727315795
Chronos2-Small,efficiency,isolated_core,32,32,32,366634,251.6764766330719,145.42845533943176,1.730586191303868,42.21611122144836
Chronos2-Small,max_efficiency,isolated_core,32,32,32,366634,251.6764766330719,135.25105341529846,1.8608097332911744,46.259954357003416
Chronos2-Synth,balanced,official_call_wall,32,32,32,366650,794.2864243788645,731.050737905316,1.0864997231994293,7.961320316282505
Chronos2-Synth,efficiency,official_call_wall,32,32,32,366650,794.2864243788645,436.39792515989393,1.820096702081803,45.0578642960996
Chronos2-Synth,max_efficiency,official_call_wall,32,32,32,366650,794.2864243788645,378.8701866324991,2.096460614752239,52.30055871485185
Chronos2-Synth,balanced,isolated_core,32,32,32,366650,764.6987351474762,702.0385612430573,1.0892546041822408,8.194099326231342
Chronos2-Synth,efficiency,isolated_core,32,32,32,366650,764.6987351474762,410.19613238716124,1.8642270727840986,46.358465950901206
Chronos2-Synth,max_efficiency,isolated_core,32,32,32,366650,764.6987351474762,353.1362620792389,2.165449480166634,53.82021103890872
ChronosBolt-Base,balanced,official_call_wall,32,32,32,366670,5360.583437995985,5272.1284711081535,1.0167778473860367,1.6500996190239259
ChronosBolt-Base,efficiency,official_call_wall,32,32,32,366670,5360.583437995985,4489.016722340137,1.1941553728945564,16.258803276489566
ChronosBolt-Base,max_efficiency,official_call_wall,32,32,32,366670,5360.583437995985,4213.743643824011,1.2721664845114322,21.393936078732345
ChronosBolt-Base,balanced,isolated_core,32,32,32,366670,5343.003141399384,5254.396144491196,1.016863402467491,1.6583744116044241
ChronosBolt-Base,efficiency,isolated_core,32,32,32,366670,5343.003141399384,4471.426859031677,1.1949212879569393,16.312479317379402
ChronosBolt-Base,max_efficiency,isolated_core,32,32,32,366670,5343.003141399384,4196.315155420303,1.2732606926574437,21.461488148755826
Moirai2-Small,balanced,official_call_wall,32,32,32,366912,8633.665262779221,8596.51421388518,1.0043216410709859,0.43030448556076184
Moirai2-Small,efficiency,official_call_wall,32,32,32,366912,8633.665262779221,5475.508977341466,1.5767785786685242,36.57955444546768
Moirai2-Small,max_efficiency,official_call_wall,32,32,32,366912,8633.665262779221,4133.604288626462,2.0886530639941987,52.122254421341395
Moirai2-Small,balanced,isolated_core,32,32,32,366912,8601.738271129609,8564.511090387345,1.0043466790280704,0.43278671785691447
Moirai2-Small,efficiency,isolated_core,32,32,32,366912,8601.738271129609,5444.861671545982,1.5797900461054837,36.700449375205814
Moirai2-Small,max_efficiency,isolated_core,32,32,32,366912,8601.738271129609,4103.337757561683,2.096278390751094,52.29641232710025
PatchTST-FM-R1,balanced,official_call_wall,32,32,32,366912,1970.0874207802117,1977.769919523038,0.9961155750894022,-0.38995725071853116
PatchTST-FM-R1,efficiency,official_call_wall,32,32,32,366912,1970.0874207802117,1985.4450777517632,0.9922648794753155,-0.7795419030425244
PatchTST-FM-R1,max_efficiency,official_call_wall,32,32,32,366912,1970.0874207802117,1988.5773758795112,0.9907019182036496,-0.9385347525328047
PatchTST-FM-R1,balanced,isolated_core,32,32,32,366912,1953.4118427581786,1960.55744291687,0.9963553222148592,-0.3658010053119165
PatchTST-FM-R1,efficiency,isolated_core,32,32,32,366912,1953.4118427581786,1967.5024518737794,0.9928383270362986,-0.7213332491987412
PatchTST-FM-R1,max_efficiency,isolated_core,32,32,32,366912,1953.4118427581786,1970.5397533111573,0.9913080106482511,-0.8768202474289444
Sundial-Base-128M,balanced,official_call_wall,32,32,32,366750,1907.295974040404,1901.353100639768,1.0031256021822756,0.3115863233353666
Sundial-Base-128M,efficiency,official_call_wall,32,32,32,366750,1907.295974040404,1868.711642904207,1.0206475575205558,2.0229860316047343
Sundial-Base-128M,max_efficiency,official_call_wall,32,32,32,366750,1907.295974040404,1858.8283884217963,1.02607426587656,2.5411675103541587
Sundial-Base-128M,balanced,isolated_core,32,32,32,366750,1897.2195452270507,1891.2958955993652,1.0031320586278798,0.3122279465541
Sundial-Base-128M,efficiency,isolated_core,32,32,32,366750,1897.2195452270507,1858.3958212127686,1.0208909875770955,2.0463485162775963
Sundial-Base-128M,max_efficiency,isolated_core,32,32,32,366750,1897.2195452270507,1848.3989740142822,1.0264123557192535,2.5732694634940545
TimesFM2.5-200M,balanced,official_call_wall,32,32,32,366567,5686.601378521882,5413.684136833996,1.0504124797069325,4.799303195731042
TimesFM2.5-200M,efficiency,official_call_wall,32,32,32,366567,5686.601378521882,2884.5344512658194,1.9714104562094699,49.27489621198671
TimesFM2.5-200M,max_efficiency,official_call_wall,32,32,32,366567,5686.601378521882,2358.202349882573,2.4114136680446645,58.5305493930095
TimesFM2.5-200M,balanced,isolated_core,32,32,32,366567,5636.415323635101,5370.0415831794735,1.049603664390605,4.725942379346071
TimesFM2.5-200M,efficiency,isolated_core,32,32,32,366567,5636.415323635101,2863.855218383789,1.9681216031640039,49.19013142316137
TimesFM2.5-200M,max_efficiency,isolated_core,32,32,32,366567,5636.415323635101,2339.2473041648864,2.40949954867953,58.49760583902053
Toto-2.0-313m,balanced,official_call_wall,32,32,32,366818,1443.3271655170247,1442.440987243317,1.0006143601586095,0.061398295194570185
Toto-2.0-313m,efficiency,official_call_wall,32,32,32,366818,1443.3271655170247,1122.3500565774739,1.2859866287335946,22.238693804711374
Toto-2.0-313m,max_efficiency,official_call_wall,32,32,32,366818,1443.3271655170247,1065.9899291871116,1.3539782375032923,26.143569202118112
Toto-2.0-313m,balanced,isolated_core,32,32,32,366818,1439.3702666549682,1438.483923500061,1.0006161647971363,0.06157853718675721
Toto-2.0-313m,efficiency,isolated_core,32,32,32,366818,1439.3702666549682,1118.3744487075805,1.2870199854067998,22.301128860565356
Toto-2.0-313m,max_efficiency,isolated_core,32,32,32,366818,1439.3702666549682,1062.0118397827148,1.355324124210762,26.216911354520157
TOTAL_9_MODELS,balanced,official_call_wall,32,32,32,3300571,26855.709909261204,26306.09702925291,1.0208929845958188,2.046540128208496
TOTAL_9_MODELS,efficiency,official_call_wall,32,32,32,3300571,26855.709909261204,18816.70045585558,1.4272273702961542,29.93407912346182
TOTAL_9_MODELS,max_efficiency,official_call_wall,32,32,32,3300571,26855.709909261204,16505.32772816997,1.6270934059325604,38.54071337552652
TOTAL_9_MODELS,balanced,isolated_core,32,32,32,3300571,26640.67732840538,26098.051976075174,1.0207917952201049,2.0368301662947563
TOTAL_9_MODELS,efficiency,isolated_core,32,32,32,3300571,26640.67732840538,18639.922437155725,1.429226833868226,30.03210013252525
TOTAL_9_MODELS,max_efficiency,isolated_core,32,32,32,3300571,26640.67732840538,16331.563490735054,1.6312386345323715,38.69689088827456
