model,method,n_instances,profile_batch_size,native_cap_ideal_s,policy_ideal_s,ideal_speedup_x,ideal_time_saved_pct,native_cap_grouped_s,policy_grouped_s,grouped_speedup_x,grouped_time_saved_pct,below_shortest_anchor_pct,selector_overhead_included,baseline_kind
Chronos2-Base,balanced,366658,32,764.8035620352097,696.8971884234885,1.097441021056977,8.878930091671677,769.1589953304131,711.8419924578982,1.080519277423641,7.451905681463533,0.9341129881251738,False,per-cell native-context cap approximation
Chronos2-Base,efficiency,366658,32,764.8035620352097,369.034242440986,2.0724460607676884,51.74783947672087,769.1589953304131,393.8748561569276,1.9528004474191794,48.791490634816284,0.9872960633614977,False,per-cell native-context cap approximation
Chronos2-Base,max_efficiency,366658,32,764.8035620352097,330.47188214270125,2.3142772603720623,56.789965613747086,769.1589953304131,355.6065559698474,2.1629494237885525,53.76683388886494,1.1304812659208308,False,per-cell native-context cap approximation
Chronos2-Small,balanced,366634,32,256.4746912648416,235.0947614175052,1.0909417535228179,8.336077818009358,257.8470518152469,240.86085763780233,1.0705228501801145,6.587701529981271,0.9341741355138913,False,per-cell native-context cap approximation
Chronos2-Small,efficiency,366634,32,256.4746912648416,151.89686949352674,1.688479111649971,40.77510387304666,257.8470518152469,158.7175101802022,1.6245658813731174,38.44509407308377,0.9341741355138913,False,per-cell native-context cap approximation
Chronos2-Small,max_efficiency,366634,32,256.4746912648416,141.51304820801602,1.8123748623366418,44.82377675936593,257.8470518152469,147.6575758715772,1.7462500673822876,42.73443313310516,0.9341741355138913,False,per-cell native-context cap approximation
Chronos2-Synth,balanced,366650,32,767.1798576161028,703.4779794066887,1.09055276792479,8.303382521975767,771.6660119102313,720.7435159823924,1.0706527284653131,6.599033149300193,0.9341333696986227,False,per-cell native-context cap approximation
Chronos2-Synth,efficiency,366650,32,767.1798576161028,414.48827107012727,1.8509084844195836,45.97247738514827,771.6660119102313,441.24102176589105,1.7488537417077545,42.81968948280943,0.9815900722760126,False,per-cell native-context cap approximation
Chronos2-Synth,max_efficiency,366650,32,767.1798576161028,355.3111070175883,2.159177809147763,53.68607458990585,771.6660119102313,381.6087357177061,2.02213927429866,50.547422093523664,1.153961543706532,False,per-cell native-context cap approximation
ChronosBolt-Base,balanced,366670,32,5219.593468174361,5031.092843557845,1.0374671329824265,3.6114043318865363,5288.605109974329,5250.187396030709,1.0073173986080317,0.7264243244624935,0.9340824174325688,False,per-cell native-context cap approximation
ChronosBolt-Base,efficiency,366670,32,5219.593468174361,4090.3678769763005,1.2760694453802555,21.634359037410356,5288.605109974329,4481.073887308681,1.180209307628857,15.269266770223421,1.195898219107099,False,per-cell native-context cap approximation
ChronosBolt-Base,max_efficiency,366670,32,5219.593468174361,3828.43574495967,1.3633749698022803,26.65260679202419,5288.605109974329,4282.254673865236,1.2350048076894837,19.028655291564732,1.5193498240925083,False,per-cell native-context cap approximation
FlowState-R1,balanced,366912,32,3583.9954243924008,3428.980043048844,1.045207431771964,4.325211474560864,3602.3904127918036,3503.4197106900574,1.0282497417593885,2.7473619114216197,0.9334663352520496,False,per-cell native-context cap approximation
FlowState-R1,efficiency,366912,32,3583.9954243924008,3256.2191576091227,1.100661611187113,9.145554833928015,3602.3904127918036,3356.8620921558972,1.0731422125471408,6.815705476120937,0.9334663352520496,False,per-cell native-context cap approximation
FlowState-R1,max_efficiency,366912,32,3583.9954243924008,2960.2302128803653,1.2107151020883267,17.404185487144787,3602.3904127918036,3062.998839927264,1.1760991763475002,14.973157016774262,0.9334663352520496,False,per-cell native-context cap approximation
Moirai2-Small,balanced,366912,32,8592.608126109126,8521.243418460792,1.008374917150439,0.8305360444809229,8704.61998172665,8769.715654230817,0.9925772197103379,-0.7478289993224196,0.9372819640676784,False,per-cell native-context cap approximation
Moirai2-Small,efficiency,366912,32,8592.608126109126,5547.036683527357,1.5490447632383586,35.44408633424847,8704.61998172665,6197.631390175629,1.4045075342049307,28.800666735754888,1.1125283446712018,False,per-cell native-context cap approximation
Moirai2-Small,max_efficiency,366912,32,8592.608126109126,4199.2836164021155,2.0462080942918415,51.129115225884036,8704.61998172665,4888.209224892456,1.780738012890223,43.84350798594162,1.604471916971917,False,per-cell native-context cap approximation
PatchTST-FM-R1,balanced,366912,32,1909.4285028465215,1907.853567479605,1.0008255011777434,0.08248202876246502,1917.1266384339483,1933.7485292635686,0.9914043162396352,-0.8670210144906321,0.9334663352520496,False,per-cell native-context cap approximation
PatchTST-FM-R1,efficiency,366912,32,1909.4285028465215,1902.6460448728242,1.0035647502550327,0.35520879486120593,1917.1266384339483,1971.3988001828093,0.9724702268542376,-2.830911670665359,0.9408250479679051,False,per-cell native-context cap approximation
PatchTST-FM-R1,max_efficiency,366912,32,1909.4285028465215,1901.5520440033101,1.0041421210994725,0.4125034706180086,1917.1266384339483,1981.2352035214317,0.9676421229677642,-3.3439921913479775,0.9631737310308739,False,per-cell native-context cap approximation
Sundial-Base-128M,balanced,366750,32,1884.115429607798,1874.540736020969,1.0051077543436868,0.508179776905815,1892.0402910442347,1902.4354499331719,0.9945358677534618,-0.5494153025250803,0.9338786639400136,False,per-cell native-context cap approximation
Sundial-Base-128M,efficiency,366750,32,1884.115429607798,1834.4118964698976,1.027095077846774,2.638030152337678,1892.0402910442347,1906.9899354520467,0.9921606065507272,-0.7901335124085085,1.7246080436264486,False,per-cell native-context cap approximation
Sundial-Base-128M,max_efficiency,366750,32,1884.115429607798,1823.4679177771775,1.0332594345309625,3.2188851530845386,1892.0402910442347,1908.0941671647502,0.9915864340467169,-0.8484954679086165,2.98159509202454,False,per-cell native-context cap approximation
TimesFM2.5-200M,balanced,366567,32,5720.05545320588,5452.108429690284,1.0491455786272428,4.684343110090349,5759.253908450706,5618.803924402342,1.0249964202235982,2.4386836607824813,0.9190680012112383,False,per-cell native-context cap approximation
TimesFM2.5-200M,efficiency,366567,32,5720.05545320588,2921.8883655541326,1.957657082535759,48.918530782485306,5759.253908450706,3182.1917528691783,1.8098387387428665,44.74645842233377,0.960806619253779,False,per-cell native-context cap approximation
TimesFM2.5-200M,max_efficiency,366567,32,5720.05545320588,2376.2790392726865,2.4071480489751877,58.457062895415305,5759.253908450706,2646.7938283357594,2.1759359746096987,54.04276542744455,1.2767106695365376,False,per-cell native-context cap approximation
Toto-2.0-313m,balanced,366818,32,1441.0766058334534,1439.870636542124,1.0008375539168057,0.0836853007291638,1448.1956932593932,1447.970168112909,1.0001557526193916,0.015572836429089687,0.9337055433484726,False,per-cell native-context cap approximation
Toto-2.0-313m,efficiency,366818,32,1441.0766058334534,1146.1300920157048,1.257341217958098,20.467094714036026,1448.1956932593932,1179.5097772949978,1.227794564433862,18.553149772160648,0.9337055433484726,False,per-cell native-context cap approximation
Toto-2.0-313m,max_efficiency,366818,32,1441.0766058334534,1092.7199286158893,1.3187977706774465,24.173362873800198,1448.1956932593932,1125.1173576910678,1.2871507877465667,22.309024745211524,0.9337055433484726,False,per-cell native-context cap approximation
