model,flops_weighting,n_cells,n_supported_points,full_normalized_mase,oracle_normalized_mase,oracle_quality_gain_vs_full_pct,oracle_flops_saved_pct,maximum_supported_flops_saved_pct,minimum_compute_mase_ratio_to_full,no_worse_than_full__flops_saved_pct,within_0.5pct_of_full__flops_saved_pct,within_1pct_of_full__flops_saved_pct,within_2pct_of_full__flops_saved_pct,within_5pct_of_full__flops_saved_pct
Chronos2-Base,cell,97,489,0.7047375232106846,0.690871197868749,1.9675872059093158,40.897880379780375,94.26904512723728,1.465642683044118,82.45077454679209,84.23809332227961,85.56279248928877,86.7309285029123,90.19693253031647
Chronos2-Base,instances,97,489,0.7047375232106846,0.690871197868749,1.9675872059093158,51.58374908088128,95.96929187433354,1.465642683044118,92.0931486338587,92.89610217362927,93.45809310797056,94.06314532987388,95.1463612563492
Chronos2-Small,cell,97,478,0.7267075982829937,0.7046859154317451,3.0303361218844693,53.32869567111773,94.32179860928946,1.4427693431060433,84.90104967469799,86.70027132146248,87.55613921591944,88.66460444891732,90.9455174526638
Chronos2-Small,instances,97,478,0.7267075982829937,0.7046859154317451,3.0303361218844693,61.47521904133686,96.01911521582305,1.4427693431060433,93.39010573432614,93.8471189946159,94.16299640027364,94.7275325206846,95.49600308261708
Chronos2-Synth,cell,97,476,0.7352280546077214,0.7156502319622784,2.6628231230769295,45.48837041700038,94.28806101036746,1.5021895992490106,83.3801216818627,84.7214337724953,85.37972783489447,86.70716258029154,89.72897360527524
Chronos2-Synth,instances,97,476,0.7352280546077214,0.7156502319622784,2.6628231230769295,46.4701189336487,95.98052616830601,1.5021895992490106,92.00900068566791,92.6574088792997,93.07545239490778,93.93220218664574,95.09207111185898
ChronosBolt-Base,cell,97,402,0.8095856948197846,0.7747922341852038,4.297687182124166,29.016816020438764,81.64619966227878,1.3027652781490124,75.87271866279912,76.65056142257592,77.1827290645837,78.32771340281771,80.04744438676552
ChronosBolt-Base,instances,97,402,0.8095856948197846,0.7747922341852038,4.297687182124166,14.451052163919908,82.62417878021189,1.3027652781490124,79.75175915706836,80.15621827947612,80.34290622663252,80.89214735560013,81.95600335170074
FlowState-R1,cell,97,462,0.709000669052374,0.6964589286527888,1.7689320965448618,38.2273664065491,98.88101757853018,1.457380221132849,77.63653727409857,81.07710863192372,83.61995788091434,86.5592217922875,91.33601053266884
FlowState-R1,instances,97,462,0.709000669052374,0.6964589286527888,1.7689320965448618,41.078124283552576,98.40649090821978,1.457380221132849,89.46742045805965,90.63253990620152,92.53482987733692,94.70932621386076,96.8356102092148
Moirai2-Small,cell,97,483,0.7377783513106547,0.7137656444007185,3.2547318401628167,50.715130616940904,95.10602819449218,1.4382428793359852,90.51860825566024,90.9726922563854,91.08643623025094,92.2280982513004,93.59584122969208
Moirai2-Small,instances,97,483,0.7377783513106547,0.7137656444007185,3.2547318401628167,49.35940569891367,95.58915437172021,1.4382428793359852,94.24956193767446,94.49821267702086,94.66970462875857,94.90776911134088,95.27398856835596
PatchTST-FM-R1,cell,97,543,0.7045267799847655,0.6951509834288481,1.3307934946234723,29.06269228250755,94.67037644508652,1.7938078779289206,68.2532446430356,72.14505047318916,75.17876533430142,79.96349137026752,87.42134556438036
PatchTST-FM-R1,instances,97,543,0.7045267799847655,0.6951509834288481,1.3307934946234723,21.572897227357902,96.43478662686805,1.7938078779289206,85.80963820487078,87.8867095309225,89.8869597287229,91.72793253915852,94.209960629232
Sundial-Base-128M,cell,97,474,0.750749522156249,0.7251334876120805,3.412061385080334,5.7943625991291885,15.44681779164444,1.463256832349348,12.724569014208598,12.96202128588302,13.169654123278018,13.466943179832793,14.086789153833443
Sundial-Base-128M,instances,97,474,0.750749522156249,0.7251334876120805,3.412061385080334,2.35132299233205,11.539749461172299,1.463256832349348,10.86231194573326,10.95931379897126,11.0644735987925,11.184908082004233,11.383107840358564
TiRex2,cell,97,1,0.6966887535382917,0.6897480126597578,0.9962470103448307,0.0,0.0,0.9900375298965517,0.0,0.0,0.0,0.0,0.0
TiRex2,instances,97,1,0.6966887535382917,0.6897480126597578,0.9962470103448307,0.0,0.0,0.9900375298965517,0.0,0.0,0.0,0.0,0.0
TimesFM2.5-200M,cell,97,517,0.7050399597715596,0.6929677420135099,1.712274260591029,37.10489065281821,96.3482468297363,1.5082991710022324,82.19307863786503,84.51325425514278,86.28178910572535,89.04832433798376,92.6510593106912
TimesFM2.5-200M,instances,97,517,0.7050399597715596,0.6929677420135099,1.712274260591029,44.63273457233857,97.20409612378992,1.5082991710022324,92.29065250961956,93.32967409840356,94.08517291866134,95.04215724087376,96.26552243025117
Toto-2.0-313m,cell,97,501,0.7039989334046809,0.6932473803873336,1.5272115492207639,21.768437158446595,89.8082946195467,1.5572654017790197,63.0686847872429,65.64299221798574,67.43567965870751,72.7708936641324,78.79538931288218
Toto-2.0-313m,instances,97,501,0.7039989334046809,0.6932473803873336,1.5272115492207639,3.2282416718714346,92.92466480777998,1.5572654017790197,80.0840977400372,81.7830817850134,84.11277630070826,86.70845252809245,90.1766100831164
