selector,mase_budget_pct,n_models,median_flops_saved_pct,q25_flops_saved_pct,q75_flops_saved_pct,min_flops_saved_pct,max_flops_saved_pct
ExtraTrees,0.0,11,2.3353230831600125,0.002165781950091983,14.916230307219081,0.0,57.63182602896606
ExtraTrees,0.1,11,20.94482817138379,6.286260696346585,34.95408698802682,0.0,57.63182602896606
ExtraTrees,0.5,11,42.52844227081554,29.198564642221967,61.27921512946504,0.0,64.96521681904439
ExtraTrees,1.0,11,54.77355677905877,39.0802470585929,69.88335077553205,0.0,74.21152546065174
ExtraTrees,2.0,11,67.712375834423,47.070644527890614,77.9691595942839,0.0,81.44226159081012
ExtraTrees,5.0,11,82.23393455203048,62.961118469447754,88.7388277496083,0.0,89.65045834360475
Depth-8 tree,0.0,11,0.0,0.0,5.204302721741361,0.0,27.939054039674037
Depth-8 tree,0.1,11,17.94744402142947,0.0,21.32801393406288,0.0,30.298750323193456
Depth-8 tree,0.5,11,39.95965951467062,26.9007019603793,45.63499979779943,0.0,54.64562213236719
Depth-8 tree,1.0,11,50.22697976941708,32.103742878665265,63.20491156375699,0.0,74.53995011697243
Depth-8 tree,2.0,11,66.45808272187863,46.937505945908754,77.99052169064531,0.0,82.09431516400639
Depth-8 tree,5.0,11,78.80591028101831,62.301958897743276,87.37268681765417,0.0,88.42101549107385
