selector,mase_budget_pct,n_models,median_flops_saved_pct,q25_flops_saved_pct,q75_flops_saved_pct,min_flops_saved_pct,max_flops_saved_pct
ExtraTrees,0.0,11,2.3353230831600125,0.002165781950091983,14.916230307219081,0.0,57.63182602896606
ExtraTrees,0.1,11,20.94482817138379,11.14063262337286,34.95408698802682,0.0355045388516495,57.63182602896606
ExtraTrees,0.5,11,42.52844227081554,30.64861704556938,61.27921512946504,4.676448078727857,64.96521681904439
ExtraTrees,1.0,11,54.77355677905877,45.831665686172876,69.88335077553205,6.311910327312475,74.21152546065174
ExtraTrees,2.0,11,67.712375834423,53.5107477984276,77.9691595942839,7.711076521243054,81.44226159081012
ExtraTrees,5.0,11,82.23393455203048,68.04714835091369,88.7388277496083,9.154900948304135,89.65045834360475
Depth-8 tree,0.0,11,0.0,0.0,5.204302721741361,0.0,27.939054039674037
Depth-8 tree,0.1,11,17.94744402142947,0.06859502454195088,21.32801393406288,0.0,30.298750323193456
Depth-8 tree,0.5,11,39.95965951467062,29.386202259544966,45.63499979779943,6.033243747359373,54.64562213236719
Depth-8 tree,1.0,11,50.22697976941708,35.41849231991414,63.20491156375699,6.80745825044683,74.53995011697243
Depth-8 tree,2.0,11,66.45808272187863,49.923451726152365,77.99052169064531,7.708374386904171,82.09431516400639
Depth-8 tree,5.0,11,78.80591028101831,66.23957316028304,87.37268681765417,9.369403214390227,88.42101549107385
