model,selector,method,mase_ratio,mase_change_pct,flops_saved_pct,harm5_pct,coverage_pct,n_cells,n_instances,source,on_selector_pareto,on_union_pareto
Chronos2-Base,ExtraTrees,dense_004,1.0000648571641693,0.0064857164169263015,5.164128093106369,0.1494580781000278,9.769594554053096,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_010,1.000460460716829,0.046046071682903644,24.271863068982857,1.6205837592524914,28.72649717175133,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_011,1.0006617427507813,0.06617427507813467,27.301171890554564,1.984410540612778,30.36671775878339,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_012,1.0008666750715849,0.08666750715848881,30.247816870650478,2.3678741497526303,32.010483884164536,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_013,1.0009584548775041,0.09584548775041224,33.03472411323115,2.790884148170775,33.74888861009442,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_014,1.001213352805716,0.12133528057161058,35.84134572237405,3.2406220510666612,35.344380867184135,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_015,1.0013311620162255,0.13311620162255178,38.76166533832735,3.66526845179977,36.85287106786161,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_016,1.0016564170082036,0.16564170082036256,41.715706212129135,4.085823846745469,38.12735573749925,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_017,1.0017652919637263,0.1765291963726323,44.360765364870005,4.382285399473078,38.95646624374758,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_019,1.0019086212591901,0.1908621259190113,49.33274953058153,5.055119484642364,40.36049942998653,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_020,1.0020096653340937,0.20096653340937465,51.67308518440977,5.381581746477644,41.1241538436363,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_021,1.0021529856014542,0.21529856014541604,54.01970479559491,5.738317451139754,42.23690741781169,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_022,1.0022530477891014,0.22530477891014034,56.193723520152794,6.1446906926891,43.59784867642326,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_023,1.002378245774689,0.23782457746890362,58.13067370720609,6.570155294579689,45.08670204932116,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_024,1.0027702945180301,0.2770294518030125,60.03347573103878,7.001620038291814,46.70646760741617,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_025,1.0033523500413926,0.335235004139256,61.80320187242787,7.404175007772911,48.39605299761631,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_026,1.0036284309729757,0.3628430972975716,63.47933968300197,7.820093929492879,50.11754823295823,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_027,1.004516932618678,0.4516932618678027,64.96521681904439,8.183375243414845,51.62903850454648,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
Chronos2-Base,ExtraTrees,dense_028,1.0053382758407228,0.5338275840722773,66.46923399475763,8.584839278019299,52.868340524412396,97,366658,logs/experiments/master_recompute/context_selection_reviewer_followups/fronts/chronos2_base/full_score/real_evaluation.json,True,True
