selector,mase_budget_pct,n_models,median_flops_saved_pct,q25_flops_saved_pct,q75_flops_saved_pct,min_flops_saved_pct,max_flops_saved_pct
ExtraTrees,0.0,11,2.3353230831600125,0.002165781950091983,14.916230307219081,0.0,57.63182602896606
ExtraTrees,0.1,11,20.94482817138379,6.286260696346585,34.95408698802682,0.0,57.63182602896606
ExtraTrees,0.5,11,42.52844227081554,29.198564642221967,61.27921512946504,0.0,64.96521681904439
ExtraTrees,1.0,11,54.77355677905877,39.0802470585929,69.88335077553205,0.0,74.21152546065174
ExtraTrees,2.0,11,67.712375834423,47.070644527890614,77.9691595942839,0.0,81.44226159081012
ExtraTrees,5.0,11,82.23393455203048,62.961118469447754,88.7388277496083,0.0,89.65045834360475
Rank-distilled depth-8 tree,0.0,11,0.0,0.0,15.073064570810436,0.0,27.38052944490064
Rank-distilled depth-8 tree,0.1,11,15.527922542703433,7.624822583923874,27.089468716811716,0.0,36.6659427885034
Rank-distilled depth-8 tree,0.5,11,47.52381017526115,28.843057253410223,50.13154909278843,0.0,67.77166031680173
Rank-distilled depth-8 tree,1.0,11,50.224679856422306,35.84151558138254,60.28975622806867,0.0,71.75293998701424
Rank-distilled depth-8 tree,2.0,11,51.96604175861275,45.275676906043074,71.85476741307885,0.0,81.44888530688583
Rank-distilled depth-8 tree,5.0,11,82.18229208118125,63.878163115338026,86.935615122916,0.0,87.83533978801042
