dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Chronos-2-Synth,3793345.1402724674,3793345.1402724674,309.1508532782765,0.8759402907378362,2.994418738835243,0.8289809156065816,16.167750626401787,1947.6511854725084,5.147060096870285,0.8169933264697912,0.6200447414208721,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Chronos-2-Synth,3239103.272963466,3239103.272963466,265.9827951276569,0.96950614920306,3.5620362640495196,0.8078988930972284,21.059951745220832,1799.7508919190639,5.468140482883074,0.808129222948785,0.5914591771812167,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Chronos-2-Synth,1954999.5260345312,1954999.5260345312,159.39402642439936,0.6637699037556243,2.1117972478549456,0.7419216672577367,12.912584747397071,1398.2129759212403,4.3900429010213715,0.5004578173855134,0.3854588920477343,Web/CloudOps,2
bitbrains_fast_storage/H/short,Chronos-2-Synth,2674974.31183542,2674974.31183542,271.33362894035594,1.0085908073420293,2.661933612801714,0.5818175942675801,20.619732905229526,1635.5348702597018,4.661805650291443,0.7733889796598359,0.6022981568065253,Web/CloudOps,2
bitbrains_rnd/5T/long,Chronos-2-Synth,3868997.2885057013,3868997.2885057013,246.37250622553236,3.317870488567364,4.287637447380719,0.7180455763817263,115.40701566464033,1966.9766873315255,7.5350442060415945,0.9437975231323885,0.7456062720871048,Web/CloudOps,2
bitbrains_rnd/5T/medium,Chronos-2-Synth,2251706.009342534,2251706.009342534,151.741557259183,4.366534645426357,0.6850735938620953,0.7430337151250351,159.23433581580989,1500.5685620265854,6.31365695204471,0.6384540914342823,0.6210688094147774,Web/CloudOps,2
bitbrains_rnd/5T/short,Chronos-2-Synth,1794318.6662009724,1794318.6662009724,121.74398510879313,1.6267822467708557,1.4941304791473826,0.6763744516832255,51.38441208243037,1339.5218050487167,5.480936327385669,0.4981412233145517,0.40949678764882375,Web/CloudOps,2
bitbrains_rnd/H/short,Chronos-2-Synth,3065537.1157239676,3065537.1157239676,212.03527130130854,5.843239611381821,3.16625013845813,0.5584677513346618,201.46560709543203,1750.867532317613,7.662653658084533,0.9279701732370597,0.7396091701029824,Web/CloudOps,2
bizitobs_application/10S/long,Chronos-2-Synth,5696007.395555556,5696007.395555556,1454.3155555555556,3.000292144579015,0.043572616577148435,0.044571439954969615,24.984235679050666,2386.630971800114,0.09204281694570038,0.05608713791236913,0.0471631923276947,Web/CloudOps,2
bizitobs_application/10S/medium,Chronos-2-Synth,1709081.28,1709081.28,732.3341666666666,1.7220286092351975,0.024250977834065754,0.024681353569030763,15.590544703660738,1307.3183544951858,0.05133454411320794,0.028756607336761608,0.020536941662658268,Web/CloudOps,2
bizitobs_application/10S/short,Chronos-2-Synth,358574.50666666665,358574.50666666665,311.39722222222224,1.0175544449456937,0.014157140519883898,0.014327945709228516,8.99118288813673,598.8109106109096,0.02309374330664817,0.012009346170841565,0.009391937929873147,Web/CloudOps,2
bizitobs_l2c/5T/long,Chronos-2-Synth,105.08625,105.08625,6.430193452380952,0.6441739873762772,0.555990304055754,0.820685066344246,4.301951311675586,10.251158471119252,0.5755872226439014,0.3610457491947104,0.27981438300165734,Web/CloudOps,7
bizitobs_l2c/5T/medium,Chronos-2-Synth,95.57163052721089,95.57163052721089,6.0434716464710885,0.5988177381865053,0.4218252909873767,0.7003924519026361,3.6474162680715523,9.776074392475278,0.5143652764440971,0.3179754817037646,0.24079764903764195,Web/CloudOps,7
bizitobs_l2c/5T/short,Chronos-2-Synth,20.981524367559523,20.981524367559523,2.6334751674107144,0.267162743475183,0.15679867412976825,0.20227314177013578,2.156590717927886,4.580559394611047,0.15731495031614756,0.09044419675191297,0.07254676667010823,Web/CloudOps,7
bizitobs_l2c/H/long,Chronos-2-Synth,80.60271577380952,80.60271577380952,5.145284598214285,0.5497473060902974,0.6268150579538807,0.7779261997767857,4.165520636610837,8.977901523953664,0.5483961369025667,0.31428883346477127,0.2505023362064724,Web/CloudOps,7
bizitobs_l2c/H/medium,Chronos-2-Synth,75.52813895089285,75.52813895089285,4.864032273065476,0.49191206950305355,0.4721516248106625,0.7624497186569941,3.6447335671185046,8.690692662319433,0.5262346411075575,0.2945245421748763,0.23569556226067595,Web/CloudOps,7
bizitobs_l2c/H/short,Chronos-2-Synth,52.51400514632937,52.51400514632937,4.371547638423859,0.4303170757847046,0.39080810546875,0.6016565958658854,2.7738637933171923,7.246654755563381,0.39061329112522913,0.23563763804871823,0.18343025211963043,Web/CloudOps,7
