dataset,eval_metrics/MASE[0.5]
bitbrains_fast_storage/5T/long,0.8797694476386504
bitbrains_fast_storage/5T/medium,0.9766616998331876
bitbrains_fast_storage/5T/short,0.687624021348568
bitbrains_fast_storage/H/short,1.0395623242658685
bitbrains_rnd/5T/long,3.295938909839324
bitbrains_rnd/5T/medium,4.373931127052579
bitbrains_rnd/5T/short,1.654129640210054
bitbrains_rnd/H/short,5.786635360098222
bizitobs_application/10S/long,2.785832170430785
bizitobs_application/10S/medium,2.199273533026733
bizitobs_application/10S/short,0.8708288126948269
bizitobs_l2c/5T/long,0.8840677895623555
bizitobs_l2c/5T/medium,0.6647171353147934
bizitobs_l2c/5T/short,0.265623910275975
bizitobs_l2c/H/long,0.5644076179043155
bizitobs_l2c/H/medium,0.4960727680655011
bizitobs_l2c/H/short,0.474215010550257
bizitobs_service/10S/long,1.2238110706500405
bizitobs_service/10S/medium,0.9934111057685164
bizitobs_service/10S/short,0.6732427289396902
car_parts/M/short,2.008152544170945
covid_deaths/D/short,31.882086235616217
electricity/15T/long,0.8614837323850127
electricity/15T/medium,0.8138964655774179
electricity/15T/short,1.0135635292888876
electricity/D/short,1.3954907142785902
electricity/H/long,1.1327494687445716
electricity/H/medium,1.0426958869592484
electricity/H/short,1.0194697392006693
electricity/W/short,1.592060495291272
ett1/15T/long,0.9975315893139254
ett1/15T/medium,1.003133508203864
ett1/15T/short,0.6922614354916726
ett1/D/short,1.8001913783207997
ett1/H/long,1.476379937529955
ett1/H/medium,1.2391395052311946
ett1/H/short,0.8136873272543726
ett1/W/short,1.6549116604989678
ett2/15T/long,0.8984678195818592
ett2/15T/medium,0.8772920978515794
ett2/15T/short,0.7658749480647952
ett2/D/short,1.2928396779202158
ett2/H/long,0.995040831417387
ett2/H/medium,1.0135360334555097
ett2/H/short,0.7348755480676931
ett2/W/short,0.896233871436805
hierarchical_sales/D/short,0.7482468357996437
hierarchical_sales/W/short,0.7148419039906404
hospital/M/short,0.7871073345853571
jena_weather/10T/long,0.64635107807728
jena_weather/10T/medium,0.587514197278201
jena_weather/10T/short,0.2604325581669295
jena_weather/D/short,1.022871776521573
jena_weather/H/long,0.8317077235200512
jena_weather/H/medium,0.7337128345261501
jena_weather/H/short,0.5219028885417614
kdd_cup_2018/D/short,1.2302623916034487
kdd_cup_2018/H/long,1.0297069345421592
kdd_cup_2018/H/medium,1.060904092775483
kdd_cup_2018/H/short,0.9751485424073102
loop_seattle/5T/long,0.7837556080896918
loop_seattle/5T/medium,0.7216607980296514
loop_seattle/5T/short,0.5445497668427377
loop_seattle/D/short,0.8901067596772662
loop_seattle/H/long,0.8652544148117627
loop_seattle/H/medium,0.8986605913994742
loop_seattle/H/short,0.828937412272446
m4_daily/D/short,3.5334215705645766
m4_hourly/H/short,0.7843335370439745
m4_monthly/M/short,0.9653153274157986
m4_quarterly/Q/short,1.221790308597588
m4_weekly/W/short,2.112752896936325
m4_yearly/A/short,3.575231155520207
m_dense/D/short,0.6755029487833056
m_dense/H/long,0.6712664328913986
m_dense/H/medium,0.6778659860750951
m_dense/H/short,0.7676417394746983
restaurant/D/short,0.6892413165154886
saugeen/D/short,2.8548305268853613
saugeen/M/short,0.7447688924089432
saugeen/W/short,1.1490605546673125
solar/10T/long,0.8333014524345763
solar/10T/medium,0.8121506950944682
solar/10T/short,0.8057920521254259
solar/D/short,0.971375037839436
solar/H/long,0.9442015292325132
solar/H/medium,0.9147287735275224
solar/H/short,0.9043902556729688
solar/W/short,1.053115620781112
sz_taxi/15T/long,0.5045377086171898
sz_taxi/15T/medium,0.5336850404624458
sz_taxi/15T/short,0.5451107607894305
sz_taxi/H/short,0.560211836972062
temperature_rain/D/short,1.3460665476622526
us_births/D/short,0.3523441113129549
us_births/M/short,0.3596739348155098
us_births/W/short,1.1299754734535108
