cell,window,mase,naive_mase,normalized_mase,flops,flops_weighting,is_native,within_cell_pareto
JenaWeather-10T/tshort,native,0.2933492027287764,0.7428874675800381,0.3948770379508,64674164736.0,cell,True,False
JenaWeather-10T/tshort,32,0.42053430076744136,0.7428874675800381,0.5660807580148515,704987136.0,cell,False,True
JenaWeather-10T/tshort,48,0.38185356999558634,0.7428874675800381,0.5140126690243912,821035008.0,cell,False,True
JenaWeather-10T/tshort,64,0.3474588941388486,0.7428874675800381,0.46771403382358673,937119744.0,cell,False,True
JenaWeather-10T/tshort,96,0.33988385114785113,0.7428874675800381,0.4575172768158622,1169399808.0,cell,False,True
JenaWeather-10T/tshort,128,0.3446529799883693,0.7428874675800381,0.4639369958832112,1401827328.0,cell,False,False
JenaWeather-10T/tshort,192,0.3216537124548777,0.7428874675800381,0.43297770724638457,1867124736.0,cell,False,True
JenaWeather-10T/tshort,256,0.3105138430849195,0.7428874675800381,0.41798234138532564,2333011968.0,cell,False,True
JenaWeather-10T/tshort,384,0.30859058539791323,0.7428874675800381,0.4153934463360239,3266555904.0,cell,False,True
JenaWeather-10T/tshort,512,0.3125582968650241,0.7428874675800381,0.4207343783617528,4202459136.0,cell,False,False
JenaWeather-10T/tshort,768,0.316385753524573,0.7428874675800381,0.4258865135458566,6081343488.0,cell,False,False
JenaWeather-10T/tshort,1024,0.31780616784211146,0.7428874675800381,0.4277985316906309,7969665024.0,cell,False,False
JenaWeather-10T/tshort,1536,0.30502772224479185,0.7428874675800381,0.4105974801788245,11774619648.0,cell,False,True
JenaWeather-10T/tshort,2048,0.296169704155581,0.7428874675800381,0.3986737118077334,15617323008.0,cell,False,True
JenaWeather-10T/tshort,2560,0.2959895267029406,0.7428874675800381,0.39843117513764076,19497775104.0,cell,False,True
JenaWeather-10T/tshort,3072,0.2974151486194527,0.7428874675800381,0.4003502032256445,23415975936.0,cell,False,False
JenaWeather-10T/tshort,4096,0.2937827113460934,0.7428874675800381,0.39546058342199925,31365623808.0,cell,False,True
JenaWeather-10T/tshort,6144,0.2928094915575231,0.7428874675800381,0.39415053333898925,47717904384.0,cell,False,True
JenaWeather-10T/tshort,8192,0.29334920404814224,0.7428874675800381,0.3948770397267969,64674164736.0,cell,False,False
JenaWeather-10T/tmedium,native,0.608801994593991,0.7160100391723763,0.8502701935544015,68413280256.0,cell,True,False
JenaWeather-10T/tmedium,32,0.7213000315488473,0.7160100391723763,1.0073881539183245,3936485376.0,cell,False,True
JenaWeather-10T/tmedium,48,0.6983206103501944,0.7160100391723763,0.9752944402251277,4053528576.0,cell,False,True
JenaWeather-10T/tmedium,64,0.6781413930001078,0.7160100391723763,0.9471115709270778,4170608640.0,cell,False,True
JenaWeather-10T/tmedium,96,0.6579250329035707,0.7160100391723763,0.9188768270121673,4404879360.0,cell,False,True
JenaWeather-10T/tmedium,128,0.6842495415432593,0.7160100391723763,0.9556423850343937,4639297536.0,cell,False,False
JenaWeather-10T/tmedium,192,0.6691754807019514,0.7160100391723763,0.9345895226209955,5108576256.0,cell,False,False
JenaWeather-10T/tmedium,256,0.6429837568531618,0.7160100391723763,0.898009415617099,5578444800.0,cell,False,True
JenaWeather-10T/tmedium,384,0.667718035934785,0.7160100391723763,0.932554013776942,6519951360.0,cell,False,False
JenaWeather-10T/tmedium,512,0.672905050260765,0.7160100391723763,0.9397983456189586,7463817216.0,cell,False,False
JenaWeather-10T/tmedium,768,0.6401212915476641,0.7160100391723763,0.8940116150990973,9358626816.0,cell,False,True
JenaWeather-10T/tmedium,1024,0.618159955235391,0.7160100391723763,0.8633397877352551,11262873600.0,cell,False,True
JenaWeather-10T/tmedium,1536,0.6070398881513049,0.7160100391723763,0.8478091855429457,15099678720.0,cell,False,True
JenaWeather-10T/tmedium,2048,0.6033634222478629,0.7160100391723763,0.8426745286215265,18974232576.0,cell,False,True
JenaWeather-10T/tmedium,2560,0.6121532595211555,0.7160100391723763,0.8549506655363841,22886535168.0,cell,False,False
JenaWeather-10T/tmedium,3072,0.5976892204546307,0.7160100391723763,0.8347497768962701,26836586496.0,cell,False,True
JenaWeather-10T/tmedium,4096,0.6088020672352357,0.7160100391723763,0.8502702950072314,34849935360.0,cell,False,False
JenaWeather-10T/tmedium,6144,0.6087290130489029,0.7160100391723763,0.850168265451309,51329617920.0,cell,False,False
JenaWeather-10T/tmedium,8192,0.6088019999789211,0.7160100391723763,0.8502702010751483,68413280256.0,cell,False,False
JenaWeather-10T/tlong,native,0.6827104766945928,0.7614923703210493,0.8965427669442813,70502178816.0,cell,True,False
JenaWeather-10T/tlong,32,0.7313866792819087,0.7614923703210493,0.9604648815766231,5743374336.0,cell,False,True
JenaWeather-10T/tlong,48,0.7418095502732583,0.7614923703210493,0.974152308263453,5860970496.0,cell,False,False
JenaWeather-10T/tlong,64,0.730153262676873,0.7614923703210493,0.9588451455778032,5978603520.0,cell,False,True
JenaWeather-10T/tlong,96,0.7204915417303468,0.7614923703210493,0.946157269345435,6213980160.0,cell,False,True
JenaWeather-10T/tlong,128,0.7350895722922307,0.7614923703210493,0.9653275606455688,6449504256.0,cell,False,False
