model,family,design_role,local_kind,lag,strength,noise,sufficient_context,oracle_relative_gain,oracle_distant_predictive,config_broken,limitation_flag
Chronos2-Base,A,local_control,linear,0,0,0.1,192,0,False,False,False
Chronos2-Base,A,local_control,nonlinear,0,0,0.1,384,0,False,False,False
Chronos2-Base,A,local_control,seasonal,0,0,0.1,384,0,False,False,False
Chronos2-Base,B,core,linear,32,0,0.1,256,-0.004061469123,False,False,False
Chronos2-Base,B,core,linear,32,0.5,0.1,128,0.03835015011,True,False,False
Chronos2-Base,B,core,linear,32,1,0.1,96,0.1553960951,True,False,False
Chronos2-Base,B,core,linear,64,0,0.1,192,-0.001502996219,False,False,False
Chronos2-Base,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
Chronos2-Base,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
Chronos2-Base,B,core,linear,128,0,0.1,256,0.0002317384679,False,False,False
Chronos2-Base,B,core,linear,128,0.5,0.1,256,0.04593748329,True,False,False
Chronos2-Base,B,core,linear,128,1,0.1,384,0.165919538,True,False,False
Chronos2-Base,B,noise_robustness,linear,128,1,0.05,384,0.1650076588,True,False,False
Chronos2-Base,B,noise_robustness,linear,128,1,0.25,384,0.1661200846,True,False,False
Chronos2-Base,C,conditional_control,linear,128,1,0.1,384,0.04730172324,True,False,False
Chronos2-Base,B,core,linear,256,0,0.1,256,0.0009244889314,False,False,False
Chronos2-Base,B,core,linear,256,0.5,0.1,256,0.05195755431,True,False,False
Chronos2-Base,B,core,linear,256,1,0.1,1024,0.1738731097,True,False,False
Chronos2-Small,A,local_control,linear,0,0,0.1,192,0,False,False,False
Chronos2-Small,A,local_control,nonlinear,0,0,0.1,384,0,False,False,False
Chronos2-Small,A,local_control,seasonal,0,0,0.1,256,0,False,False,False
Chronos2-Small,B,core,linear,32,0,0.1,192,-0.004061469123,False,False,False
Chronos2-Small,B,core,linear,32,0.5,0.1,128,0.03835015011,True,False,False
Chronos2-Small,B,core,linear,32,1,0.1,96,0.1553960951,True,False,False
Chronos2-Small,B,core,linear,64,0,0.1,128,-0.001502996219,False,False,False
Chronos2-Small,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
Chronos2-Small,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
Chronos2-Small,B,core,linear,128,0,0.1,256,0.0002317384679,False,False,False
Chronos2-Small,B,core,linear,128,0.5,0.1,256,0.04593748329,True,False,False
Chronos2-Small,B,core,linear,128,1,0.1,384,0.165919538,True,False,False
Chronos2-Small,B,noise_robustness,linear,128,1,0.05,384,0.1650076588,True,False,False
Chronos2-Small,B,noise_robustness,linear,128,1,0.25,384,0.1661200846,True,False,False
Chronos2-Small,C,conditional_control,linear,128,1,0.1,384,0.04730172324,True,False,False
Chronos2-Small,B,core,linear,256,0,0.1,192,0.0009244889314,False,False,False
Chronos2-Small,B,core,linear,256,0.5,0.1,256,0.05195755431,True,False,False
Chronos2-Small,B,core,linear,256,1,0.1,512,0.1738731097,True,False,False
Chronos2-Synth,A,local_control,linear,0,0,0.1,96,0,False,False,False
Chronos2-Synth,A,local_control,nonlinear,0,0,0.1,384,0,False,False,False
Chronos2-Synth,A,local_control,seasonal,0,0,0.1,384,0,False,False,False
Chronos2-Synth,B,core,linear,32,0,0.1,256,-0.004061469123,False,False,False
Chronos2-Synth,B,core,linear,32,0.5,0.1,64,0.03835015011,True,False,False
Chronos2-Synth,B,core,linear,32,1,0.1,48,0.1553960951,True,False,False
Chronos2-Synth,B,core,linear,64,0,0.1,128,-0.001502996219,False,False,False
Chronos2-Synth,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
Chronos2-Synth,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
Chronos2-Synth,B,core,linear,128,0,0.1,256,0.0002317384679,False,False,False
Chronos2-Synth,B,core,linear,128,0.5,0.1,192,0.04593748329,True,False,False
Chronos2-Synth,B,core,linear,128,1,0.1,512,0.165919538,True,False,False
Chronos2-Synth,B,noise_robustness,linear,128,1,0.05,512,0.1650076588,True,False,False
Chronos2-Synth,B,noise_robustness,linear,128,1,0.25,512,0.1661200846,True,False,False
Chronos2-Synth,C,conditional_control,linear,128,1,0.1,384,0.04730172324,True,False,False
Chronos2-Synth,B,core,linear,256,0,0.1,256,0.0009244889314,False,False,False
Chronos2-Synth,B,core,linear,256,0.5,0.1,256,0.05195755431,True,False,False
Chronos2-Synth,B,core,linear,256,1,0.1,1024,0.1738731097,True,False,False
ChronosBolt-Base,A,local_control,linear,0,0,0.1,96,0,False,False,False
ChronosBolt-Base,A,local_control,nonlinear,0,0,0.1,256,0,False,False,False
ChronosBolt-Base,A,local_control,seasonal,0,0,0.1,384,0,False,False,False
ChronosBolt-Base,B,core,linear,32,0,0.1,192,-0.004061469123,False,False,False
ChronosBolt-Base,B,core,linear,32,0.5,0.1,64,0.03835015011,True,False,False
ChronosBolt-Base,B,core,linear,32,1,0.1,32,0.1553960951,True,False,False
ChronosBolt-Base,B,core,linear,64,0,0.1,96,-0.001502996219,False,False,False
ChronosBolt-Base,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
ChronosBolt-Base,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
ChronosBolt-Base,B,core,linear,128,0,0.1,192,0.0002317384679,False,False,False
ChronosBolt-Base,B,core,linear,128,0.5,0.1,192,0.04593748329,True,False,False
ChronosBolt-Base,B,core,linear,128,1,0.1,512,0.165919538,True,False,False
ChronosBolt-Base,B,noise_robustness,linear,128,1,0.05,512,0.1650076588,True,False,False
ChronosBolt-Base,B,noise_robustness,linear,128,1,0.25,512,0.1661200846,True,False,False
ChronosBolt-Base,C,conditional_control,linear,128,1,0.1,256,0.04730172324,True,False,False
ChronosBolt-Base,B,core,linear,256,0,0.1,192,0.0009244889314,False,False,False
ChronosBolt-Base,B,core,linear,256,0.5,0.1,192,0.05195755431,True,False,True
ChronosBolt-Base,B,core,linear,256,1,0.1,256,0.1738731097,True,False,False
FlowState-R1,A,local_control,linear,0,0,0.1,64,0,False,False,False
FlowState-R1,A,local_control,nonlinear,0,0,0.1,96,0,False,False,False
FlowState-R1,A,local_control,seasonal,0,0,0.1,192,0,False,False,False
FlowState-R1,B,core,linear,32,0,0.1,128,-0.004061469123,False,False,False
FlowState-R1,B,core,linear,32,0.5,0.1,48,0.03835015011,True,False,False
FlowState-R1,B,core,linear,32,1,0.1,48,0.1553960951,True,False,False
FlowState-R1,B,core,linear,64,0,0.1,64,-0.001502996219,False,False,False
FlowState-R1,B,core,linear,64,0.5,0.1,64,0.04535457348,True,False,False
FlowState-R1,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
FlowState-R1,B,core,linear,128,0,0.1,128,0.0002317384679,False,False,False
FlowState-R1,B,core,linear,128,0.5,0.1,128,0.04593748329,True,False,False
FlowState-R1,B,core,linear,128,1,0.1,256,0.165919538,True,False,False
FlowState-R1,B,noise_robustness,linear,128,1,0.05,256,0.1650076588,True,False,False
FlowState-R1,B,noise_robustness,linear,128,1,0.25,256,0.1661200846,True,False,False
FlowState-R1,C,conditional_control,linear,128,1,0.1,192,0.04730172324,True,False,False
FlowState-R1,B,core,linear,256,0,0.1,128,0.0009244889314,False,False,False
FlowState-R1,B,core,linear,256,0.5,0.1,128,0.05195755431,True,False,True
FlowState-R1,B,core,linear,256,1,0.1,384,0.1738731097,True,False,False
Moirai2-Small,A,local_control,linear,0,0,0.1,48,0,False,False,False
Moirai2-Small,A,local_control,nonlinear,0,0,0.1,192,0,False,False,False
Moirai2-Small,A,local_control,seasonal,0,0,0.1,256,0,False,False,False
Moirai2-Small,B,core,linear,32,0,0.1,96,-0.004061469123,False,False,False
Moirai2-Small,B,core,linear,32,0.5,0.1,48,0.03835015011,True,False,False
Moirai2-Small,B,core,linear,32,1,0.1,48,0.1553960951,True,False,False
Moirai2-Small,B,core,linear,64,0,0.1,128,-0.001502996219,False,False,False
Moirai2-Small,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
Moirai2-Small,B,core,linear,64,1,0.1,192,0.1774472059,True,False,False
Moirai2-Small,B,core,linear,128,0,0.1,96,0.0002317384679,False,False,False
Moirai2-Small,B,core,linear,128,0.5,0.1,128,0.04593748329,True,False,False
Moirai2-Small,B,core,linear,128,1,0.1,256,0.165919538,True,False,False
Moirai2-Small,B,noise_robustness,linear,128,1,0.05,256,0.1650076588,True,False,False
Moirai2-Small,B,noise_robustness,linear,128,1,0.25,256,0.1661200846,True,False,False
Moirai2-Small,C,conditional_control,linear,128,1,0.1,256,0.04730172324,True,False,False
Moirai2-Small,B,core,linear,256,0,0.1,192,0.0009244889314,False,False,False
Moirai2-Small,B,core,linear,256,0.5,0.1,192,0.05195755431,True,False,True
Moirai2-Small,B,core,linear,256,1,0.1,256,0.1738731097,True,False,False
PatchTST-FM-R1,A,local_control,linear,0,0,0.1,48,0,False,False,False
PatchTST-FM-R1,A,local_control,nonlinear,0,0,0.1,384,0,False,False,False
PatchTST-FM-R1,A,local_control,seasonal,0,0,0.1,384,0,False,False,False
PatchTST-FM-R1,B,core,linear,32,0,0.1,48,-0.004061469123,False,False,False
PatchTST-FM-R1,B,core,linear,32,0.5,0.1,48,0.03835015011,True,False,False
PatchTST-FM-R1,B,core,linear,32,1,0.1,64,0.1553960951,True,False,False
PatchTST-FM-R1,B,core,linear,64,0,0.1,48,-0.001502996219,False,False,False
PatchTST-FM-R1,B,core,linear,64,0.5,0.1,48,0.04535457348,True,False,True
PatchTST-FM-R1,B,core,linear,64,1,0.1,256,0.1774472059,True,False,False
PatchTST-FM-R1,B,core,linear,128,0,0.1,192,0.0002317384679,False,False,False
PatchTST-FM-R1,B,core,linear,128,0.5,0.1,192,0.04593748329,True,False,False
PatchTST-FM-R1,B,core,linear,128,1,0.1,384,0.165919538,True,False,False
PatchTST-FM-R1,B,noise_robustness,linear,128,1,0.05,384,0.1650076588,True,False,False
PatchTST-FM-R1,B,noise_robustness,linear,128,1,0.25,384,0.1661200846,True,False,False
PatchTST-FM-R1,C,conditional_control,linear,128,1,0.1,256,0.04730172324,True,False,False
PatchTST-FM-R1,B,core,linear,256,0,0.1,192,0.0009244889314,False,False,False
PatchTST-FM-R1,B,core,linear,256,0.5,0.1,256,0.05195755431,True,False,False
PatchTST-FM-R1,B,core,linear,256,1,0.1,1024,0.1738731097,True,False,False
Sundial-Base-128M,A,local_control,linear,0,0,0.1,32,0,False,False,False
Sundial-Base-128M,A,local_control,nonlinear,0,0,0.1,96,0,False,False,False
Sundial-Base-128M,A,local_control,seasonal,0,0,0.1,192,0,False,False,False
Sundial-Base-128M,B,core,linear,32,0,0.1,48,-0.004061469123,False,False,False
Sundial-Base-128M,B,core,linear,32,0.5,0.1,32,0.03835015011,True,False,False
Sundial-Base-128M,B,core,linear,32,1,0.1,32,0.1553960951,True,False,False
Sundial-Base-128M,B,core,linear,64,0,0.1,96,-0.001502996219,False,False,False
Sundial-Base-128M,B,core,linear,64,0.5,0.1,32,0.04535457348,True,False,True
Sundial-Base-128M,B,core,linear,64,1,0.1,128,0.1774472059,True,False,False
Sundial-Base-128M,B,core,linear,128,0,0.1,96,0.0002317384679,False,False,False
Sundial-Base-128M,B,core,linear,128,0.5,0.1,96,0.04593748329,True,False,True
Sundial-Base-128M,B,core,linear,128,1,0.1,256,0.165919538,True,False,False
Sundial-Base-128M,B,noise_robustness,linear,128,1,0.05,256,0.1650076588,True,False,False
Sundial-Base-128M,B,noise_robustness,linear,128,1,0.25,256,0.1661200846,True,False,False
Sundial-Base-128M,C,conditional_control,linear,128,1,0.1,192,0.04730172324,True,False,False
Sundial-Base-128M,B,core,linear,256,0,0.1,64,0.0009244889314,False,False,False
Sundial-Base-128M,B,core,linear,256,0.5,0.1,96,0.05195755431,True,False,True
Sundial-Base-128M,B,core,linear,256,1,0.1,512,0.1738731097,True,False,False
TiRex2,A,local_control,linear,0,0,0.1,96,0,False,False,False
TiRex2,A,local_control,nonlinear,0,0,0.1,192,0,False,False,False
TiRex2,A,local_control,seasonal,0,0,0.1,192,0,False,False,False
TiRex2,B,core,linear,32,0,0.1,192,-0.004061469123,False,False,False
TiRex2,B,core,linear,32,0.5,0.1,96,0.03835015011,True,False,False
TiRex2,B,core,linear,32,1,0.1,96,0.1553960951,True,False,False
TiRex2,B,core,linear,64,0,0.1,128,-0.001502996219,False,False,False
TiRex2,B,core,linear,64,0.5,0.1,128,0.04535457348,True,False,False
TiRex2,B,core,linear,64,1,0.1,384,0.1774472059,True,False,False
TiRex2,B,core,linear,128,0,0.1,192,0.0002317384679,False,False,False
