model,lag,strength,sufficient_context,oracle_relative_gain,oracle_distant_predictive,config_broken,limitation_flag,n_instances,series_length,max_supported_context
Chronos2-Base,128,1.0,512,0.17712382834030113,True,False,False,48,8192,8192
Chronos2-Base,512,1.0,1024,0.1609322070243639,True,False,False,48,8192,8192
Chronos2-Base,1024,1.0,2048,0.1674663864177049,True,False,False,48,8192,8192
Chronos2-Base,2048,1.0,768,0.11434398109133839,True,False,True,48,8192,8192
Chronos2-Small,128,1.0,768,0.17712382834030113,True,False,False,48,8192,8192
Chronos2-Small,512,1.0,1536,0.1609322070243639,True,False,False,48,8192,8192
Chronos2-Small,1024,1.0,2048,0.1674663864177049,True,False,False,48,8192,8192
Chronos2-Small,2048,1.0,2560,0.11434398109133839,True,False,False,48,8192,8192
Chronos2-Synth,128,1.0,512,0.17712382834030113,True,False,False,48,8192,8192
Chronos2-Synth,512,1.0,1536,0.1609322070243639,True,False,False,48,8192,8192
Chronos2-Synth,1024,1.0,2048,0.1674663864177049,True,False,False,48,8192,8192
Chronos2-Synth,2048,1.0,2560,0.11434398109133839,True,False,False,48,8192,8192
FlowState-R1,128,1.0,384,0.17712382834030113,True,False,False,48,8192,8192
FlowState-R1,512,1.0,512,0.1609322070243639,True,False,False,48,8192,8192
FlowState-R1,1024,1.0,256,0.1674663864177049,True,False,True,48,8192,8192
FlowState-R1,2048,1.0,256,0.11434398109133839,True,False,True,48,8192,8192
Moirai2-Small,128,1.0,256,0.1890734536687167,True,False,False,48,8192,6144
Moirai2-Small,512,1.0,384,0.14928615167073514,True,False,True,48,8192,6144
Moirai2-Small,1024,1.0,768,0.14232572689707756,True,False,True,48,8192,6144
Moirai2-Small,2048,1.0,256,0.1249342035838903,True,False,True,48,8192,6144
PatchTST-FM-R1,128,1.0,1024,0.17712382834030113,True,False,False,48,8192,8192
PatchTST-FM-R1,512,1.0,1536,0.1609322070243639,True,False,False,48,8192,8192
PatchTST-FM-R1,1024,1.0,2048,0.1674663864177049,True,False,False,48,8192,8192
PatchTST-FM-R1,2048,1.0,2560,0.11434398109133839,True,False,False,48,8192,8192
Sundial-Base-128M,128,1.0,384,0.1885717797318504,True,False,False,48,8192,2560
Sundial-Base-128M,512,1.0,1024,0.14067767659171038,True,False,False,48,8192,2560
Sundial-Base-128M,1024,1.0,256,0.15047486536437996,True,False,True,48,8192,2560
Sundial-Base-128M,2048,1.0,1024,0.18420721549178617,True,False,True,48,8192,2560
TimesFM2.5-200M,128,1.0,768,0.17712382834030113,True,False,False,48,8192,8192
TimesFM2.5-200M,512,1.0,1536,0.1609322070243639,True,False,False,48,8192,8192
TimesFM2.5-200M,1024,1.0,2048,0.1674663864177049,True,False,False,48,8192,8192
TimesFM2.5-200M,2048,1.0,2560,0.11434398109133839,True,False,False,48,8192,8192
Toto-2.0-313m,128,0.5,192,0.03164761681367781,True,False,False,48,8192,4096
Toto-2.0-313m,128,1.0,384,0.13613935530457197,True,False,False,48,8192,4096
Toto-2.0-313m,512,0.5,192,0.03431709249184115,True,False,True,48,8192,4096
Toto-2.0-313m,512,1.0,1024,0.17103309132878197,True,False,False,48,8192,4096
Toto-2.0-313m,1024,0.5,128,0.030560169882697438,True,False,True,48,8192,4096
Toto-2.0-313m,1024,1.0,1536,0.15106578646598434,True,False,False,48,8192,4096
Toto-2.0-313m,2048,0.5,192,0.0678580892190488,True,False,True,48,8192,4096
Toto-2.0-313m,2048,1.0,2560,0.2086780794773872,True,False,False,48,8192,4096
