model,context_length,metric,variant,visible_suffix,mean_loss_delta,mean_abs_loss_delta,se_loss_delta,n_rows
Chronos2-Base,8192,mae,attention_mask/full_history_stats,32,0.04213665292,0.08649646614,0.01009451187,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,48,0.0382573589,0.07926527795,0.0119410318,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,64,0.02393889173,0.06469321022,0.009093567701,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,96,0.00798351668,0.04660505735,0.005334674636,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,128,0.01421422929,0.04654887167,0.006037365209,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,192,0.009290572354,0.03584551864,0.004922248131,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,256,0.01008123627,0.02696650323,0.003474764641,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,384,0.006147833809,0.0380483037,0.009674576007,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,512,0.0220992141,0.03478737336,0.0163660143,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,768,0.02362309117,0.03339257898,0.01823523384,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,1024,0.006032542036,0.01348513606,0.001905237776,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,1536,0.004377274879,0.01286129911,0.001777542791,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,2048,0.0047885777,0.01056703337,0.001551239365,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,2560,0.003475793604,0.008362961407,0.001111759878,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,3072,0.002556266914,0.007385678094,0.000976309579,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,4096,0.00175603499,0.005498655356,0.0009152152346,256
Chronos2-Base,8192,mae,attention_mask/full_history_stats,6144,0.0001109877214,0.002418136622,0.000319134623,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,32,-0.0003600651071,0.0009697472415,0.0001618882567,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,48,-0.0001625327359,0.0009746655933,0.0001085037773,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,64,-3.751177246e-05,0.001018040255,0.0001276016207,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,96,-1.86436049e-05,0.00134300613,0.0001763263989,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,128,3.19107744e-06,0.001241860432,0.0001470736353,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,192,7.607590351e-05,0.0008308205183,9.989678195e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,256,6.128710538e-06,0.0006626530408,7.319015625e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,384,-3.476753477e-06,0.0007028369138,0.0001272581146,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,512,-0.0001122327817,0.0006696683126,9.781184053e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,768,-0.0001454896876,0.0006043006299,9.527401585e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,1024,2.218970167e-05,0.0005178381953,7.613382937e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,1536,6.235589143e-05,0.0004887984284,0.0001010608422,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,2048,-2.333127713e-05,0.0004695229595,4.958672792e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,2560,1.251259528e-05,0.0005368939201,7.219740506e-05,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,3072,0.0001126455675,0.0006390129662,0.0001576850235,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,4096,2.954144344e-05,0.0006002431614,0.0001073105613,256
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,6144,-1.386272743e-06,0.0004821178818,4.770025079e-05,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,32,0.1233449323,0.236810944,0.03384998771,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,48,0.1264469345,0.2167775682,0.04515253251,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,64,0.08736913146,0.1972612904,0.04790768853,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,96,0.001778749458,0.09369606575,0.01602082092,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,128,0.03561941444,0.1206741824,0.02877391422,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,192,-0.008577608807,0.07098342006,0.01582212325,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,256,0.0007238766545,0.04984024638,0.01088956858,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,384,0.001710216137,0.08396584238,0.03107863537,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,512,0.09822258323,0.1168508328,0.09317177102,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,768,0.1282669958,0.1441847444,0.1244788175,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,1024,0.006135730945,0.01757636223,0.003241680717,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,1536,0.001216881742,0.0152960248,0.002771519336,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,2048,0.003054101606,0.01191723225,0.002243158434,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,2560,0.002366913684,0.0104534164,0.002058810538,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,3072,0.001145126543,0.01000748945,0.002259593607,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,4096,-9.917172537e-05,0.008626662367,0.002644348971,256
Chronos2-Base,8192,mse,attention_mask/full_history_stats,6144,-0.0006586756332,0.003972137106,0.001106692192,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,32,-0.00198898519,0.003376773671,0.0008691981634,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,48,-7.493536069e-05,0.002402406998,0.0003678378732,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,64,0.0001507329758,0.002738176392,0.0004946942523,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,96,-5.436316e-05,0.00340750605,0.0006665263229,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,128,-0.0001534163328,0.003211129409,0.0006824012014,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,192,0.0001145033575,0.0016383873,0.0002730173665,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,256,-5.398491859e-05,0.001120677185,0.0001879525132,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,384,-0.0003502233216,0.001382560826,0.0005286523781,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,512,-0.0002597110111,0.0009689123591,0.0001791768196,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,768,-0.0003101558061,0.0008693678656,0.0002168244347,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,1024,-9.040930308e-05,0.0006604924365,0.0001560611278,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,1536,-0.0001210567021,0.0006272186129,0.0001273713754,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,2048,-1.636092615e-05,0.0005254774873,7.762369838e-05,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,2560,2.746657348e-05,0.0005846429755,0.0001067536501,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,3072,0.0001299440026,0.0008357050519,0.0002261983049,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,4096,4.446364156e-05,0.0008007496496,0.0001768877854,256
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,6144,-0.0001186938821,0.0005842973837,0.0001207341709,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,32,0.0377384632,0.09613453789,0.01206063684,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,48,0.03088995549,0.07998894276,0.01185286249,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,64,0.04026717981,0.08165884712,0.01533543009,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,96,0.02089143725,0.06044165895,0.008213214243,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,128,0.01910758271,0.05364884119,0.007669831011,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,192,0.003645428514,0.03899732327,0.006481543093,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,256,0.001662755388,0.02629482506,0.003876295847,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,384,0.0002518106167,0.02063719406,0.00326489956,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,512,-0.0004299584912,0.01609975249,0.002326390864,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,768,0.0003591855049,0.01196509594,0.001667125842,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,1024,0.000323997463,0.009428428105,0.001223621233,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,1536,0.0006564794571,0.007871885127,0.0009638386085,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,2048,0.0009466105762,0.006862344077,0.000887003221,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,2560,0.0003713279344,0.005920317373,0.0007003742789,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,3072,0.0003770513274,0.005672185515,0.0007394822149,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,4096,1.089964144e-06,0.004672940665,0.0007396766451,256
Chronos2-Small,8192,mae,attention_mask/full_history_stats,6144,8.685400098e-05,0.003182081609,0.0004632698156,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,32,8.321298128e-05,0.001061807569,0.0001183421508,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,48,-5.405786715e-05,0.001340241534,0.0001899762058,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,64,-0.0003755312473,0.001493206474,0.0002027467833,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,96,-0.0003108614646,0.001458632741,0.0001723731272,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,128,-0.0001261826055,0.001709945034,0.0002083273494,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,192,-0.0005972056834,0.001394980542,0.0003704831392,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,256,-0.0003479279198,0.001353374275,0.0002282917769,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,384,-0.0001090255587,0.0009365006649,0.0001062142548,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,512,-0.0001515308027,0.000937324528,0.0001295351198,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,768,-0.0002506110104,0.0008334033027,9.242005232e-05,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,1024,-0.0001959223423,0.0007185931522,8.205028474e-05,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,1536,0.0001197134989,0.0006717349279,8.507920748e-05,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,2048,0.0001437731953,0.000804248135,0.0001466614392,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,2560,7.411637159e-05,0.0008731326074,0.0001541097669,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,3072,9.293048925e-05,0.0007837442704,0.0001005854676,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,4096,0.0001058329364,0.0007425713646,7.473673708e-05,256
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,6144,-6.130290558e-05,0.0007350024684,7.781111986e-05,256
Chronos2-Small,8192,mse,attention_mask/full_history_stats,32,0.07193009374,0.2954800914,0.07428939845,256
Chronos2-Small,8192,mse,attention_mask/full_history_stats,48,0.08688817311,0.2220385515,0.04755515716,256
Chronos2-Small,8192,mse,attention_mask/full_history_stats,64,0.1498401671,0.2561810521,0.0826994715,256
Chronos2-Small,8192,mse,attention_mask/full_history_stats,96,0.03297765203,0.1507137738,0.03052913867,256
Chronos2-Small,8192,mse,attention_mask/full_history_stats,128,0.02115348827,0.1484523769,0.04548698233,256
