model,context_length,metric,variant,mean_loss_delta,mean_abs_loss_delta,mean_prediction_distance,n_samples,n_rows
Chronos2-Base,8192,mae,attention_mask/full_history_stats,0.01299235736,0.03254282713,0.06254536242,256,4352
Chronos2-Base,8192,mae,attention_mask/tail_matched_stats,-3.176641778e-05,0.0007501192106,0.001932387684,256,4352
Chronos2-Base,8192,mse,attention_mask/full_history_stats,0.03576859602,0.08287614479,0.06254536242,256,4352
Chronos2-Base,8192,mse,attention_mask/tail_matched_stats,-0.0001838344331,0.001513793038,0.001932387684,256,4352
Chronos2-Small,8192,mae,attention_mask/full_history_stats,0.009243955924,0.03114571772,0.06199114566,256,4352
Chronos2-Small,8192,mae,attention_mask/tail_matched_stats,-0.0001153282315,0.001049908446,0.002829731447,256,4352
Chronos2-Small,8192,mse,attention_mask/full_history_stats,0.01608250424,0.0835805211,0.06199114566,256,4352
Chronos2-Small,8192,mse,attention_mask/tail_matched_stats,-0.0003643835726,0.002151664256,0.002829731447,256,4352
Chronos2-Synth,8192,mae,attention_mask/full_history_stats,0.054685996,0.07547629319,0.1283535491,256,4352
Chronos2-Synth,8192,mae,attention_mask/tail_matched_stats,-1.586989099e-05,0.0007400235957,0.001962073631,256,4352
Chronos2-Synth,8192,mse,attention_mask/full_history_stats,0.2023815414,0.2412072608,0.1283535491,256,4352
Chronos2-Synth,8192,mse,attention_mask/tail_matched_stats,-9.191761154e-05,0.001385164496,0.001962073631,256,4352
ChronosBolt-Base,2048,mae,attention_mask/full_history_stats,0.1845915564,0.2323640808,0.3138111185,256,3072
ChronosBolt-Base,2048,mae,attention_mask/tail_matched_stats,-9.675762414e-10,3.969744652e-08,8.879680813e-08,256,3072
ChronosBolt-Base,2048,mse,attention_mask/full_history_stats,111.3518526,111.4782847,0.3138111185,256,3072
ChronosBolt-Base,2048,mse,attention_mask/tail_matched_stats,5.355781462e-10,1.033301552e-07,8.879680813e-08,256,3072
Moirai2-Small,6144,mae,attention_mask/full_history_stats,0.2169661416,0.2792891914,0.4239943749,256,4096
Moirai2-Small,6144,mae,attention_mask/tail_matched_stats,-0.000421230733,0.0008201733562,0.001464064066,256,4096
Moirai2-Small,6144,mse,attention_mask/full_history_stats,0.4852046772,0.6694324069,0.4239943749,256,4096
Moirai2-Small,6144,mse,attention_mask/tail_matched_stats,-0.001588471969,0.002379691428,0.001464064066,256,4096
PatchTST-FM-R1,8192,mae,attention_mask/full_history_stats,0.2342055608,0.3262140939,0.5306425782,256,4352
PatchTST-FM-R1,8192,mae,attention_mask/tail_matched_stats,0.02571105261,0.1126081998,0.2259526097,256,4352
PatchTST-FM-R1,8192,mse,attention_mask/full_history_stats,0.4610627786,0.7736281743,0.5306425782,256,4352
PatchTST-FM-R1,8192,mse,attention_mask/tail_matched_stats,-0.001691186894,0.2938323562,0.2259526097,256,4352
Sundial-Base-128M,2560,mae,attention_mask/full_history_stats,-0.001200415046,0.06666021398,0.1505166049,256,3328
Sundial-Base-128M,2560,mae,attention_mask/tail_matched_stats,0.0009131552832,0.01156514999,0.03767548606,256,3328
Sundial-Base-128M,2560,mse,attention_mask/full_history_stats,-0.01263856267,0.1267582908,0.1505166049,256,3328
Sundial-Base-128M,2560,mse,attention_mask/tail_matched_stats,0.0006700739631,0.02264247016,0.03767548606,256,3328
TimesFM2.5-200M,8192,mae,attention_mask/full_history_stats,0.0327255129,0.1028697299,0.2147336102,256,4096
TimesFM2.5-200M,8192,mae,attention_mask/tail_matched_stats,0.008082575896,0.05330371074,0.1139088591,256,4096
TimesFM2.5-200M,8192,mse,attention_mask/full_history_stats,0.02451580808,0.2026207513,0.2147336102,256,4096
TimesFM2.5-200M,8192,mse,attention_mask/tail_matched_stats,-0.02238427266,0.1102045381,0.1139088591,256,4096
