model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
TimesFM2.5-200M,synthetic,synth_42_0,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6313879229128361,0.21532616019248962,-0.41606176272034645,0.7343081887811422,,,42,8192,64,mae,0.49125367025569877,,
TimesFM2.5-200M,synthetic,synth_42_1,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.1850236402824521,0.26621660590171814,0.08119296561926603,0.22907496895641088,,,42,8192,64,mae,0.17166644118699267,,
TimesFM2.5-200M,synthetic,synth_42_2,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.41578804193704855,0.39620660994842183,-0.01958143198862672,0.12208671635016799,,,42,8192,64,mae,0.2611196672768916,,
TimesFM2.5-200M,synthetic,synth_42_3,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7267632064613281,1.1870696071273414,0.46030640066601336,1.0618138411082327,,,42,8192,64,mae,0.9294711339089469,,
TimesFM2.5-200M,synthetic,synth_42_4,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.16833470438723452,0.17222010952536948,0.0038854051381349564,0.08083882322534919,,,42,8192,64,mae,0.35758414840072045,,
TimesFM2.5-200M,synthetic,synth_42_5,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.3136685764766298,0.6970738770050957,-0.6165946994715341,0.8848983470506937,,,42,8192,64,mae,0.9644168688293945,,
TimesFM2.5-200M,synthetic,synth_42_7,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.0249798877630383,1.2576423288555816,0.2326624410925433,0.7944522316101938,,,42,8192,64,mae,1.2953523936166422,,
TimesFM2.5-200M,synthetic,synth_42_8,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.3521777919959277,0.5018564127531135,0.14967862075718585,0.17055659463221673,,,42,8192,64,mae,1.2901983827100472,,
TimesFM2.5-200M,synthetic,synth_42_9,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7912291116990673,0.5503921476374671,-0.24083696406160016,1.1630433946847916,,,42,8192,64,mae,0.7175748079009445,,
TimesFM2.5-200M,synthetic,synth_42_10,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.16161966091021895,0.6943817019928247,0.5327620410826057,0.7222970209550112,,,42,8192,64,mae,1.0541706295821889,,
