model,profile,n_cells,n_instances,coverage_pct,flops_saved_pct,geomean_mase_ratio,mase_reduction_pct,harm5_pct,cell_win_pct,context_saved_pct
Chronos2-Base,conservative,97,366658,10.9012,9.8608,0.9994311,0.0569,0.4301,31.9588,9.9125
Chronos2-Base,balanced,97,366658,21.9504,18.0489,0.9995997,0.0400,0.9636,28.8660,18.0257
Chronos2-Base,aggressive,97,366658,35.3209,37.7887,1.0000645,-0.0065,2.6826,36.0825,37.8882
Chronos2-Base,extreme,97,366658,60.7026,71.9965,1.0066705,-0.6670,9.6932,24.7423,73.1725
Chronos2-Base,very_extreme,97,366658,69.3668,77.4430,1.0136792,-1.3679,12.4495,24.7423,78.9754
Chronos2-Small,conservative,97,366634,0.0022,0.0042,1.0000000,-0.0000,0.0022,0.0000,0.0043
Chronos2-Small,balanced,97,366634,20.7108,12.4406,0.9992161,0.0784,2.1337,46.3918,12.3884
Chronos2-Small,aggressive,97,366634,39.5842,24.0743,0.9992234,0.0777,3.3644,52.5773,23.8652
Chronos2-Small,extreme,97,366634,48.1777,58.1283,1.0016492,-0.1649,7.7988,47.4227,58.4661
Chronos2-Small,very_extreme,97,366634,58.2816,64.7274,1.0056255,-0.5625,9.1980,46.3918,65.3525
Chronos2-Synth,conservative,97,366650,5.9902,6.8416,0.9990403,0.0960,0.4536,32.9897,6.9313
Chronos2-Synth,balanced,97,366650,19.1671,15.0484,0.9994877,0.0512,0.9617,45.3608,15.0456
Chronos2-Synth,aggressive,97,366650,33.4717,29.5438,0.9997296,0.0270,2.5362,42.2680,29.5450
Chronos2-Synth,extreme,97,366650,57.2470,66.9235,1.0029667,-0.2967,11.1651,31.9588,67.8788
Chronos2-Synth,very_extreme,97,366650,65.6362,74.1842,1.0130069,-1.3007,15.4793,25.7732,75.5415
ChronosBolt-Base,conservative,97,366670,0.0000,0.0000,1.0000000,0.0000,0.0000,0.0000,0.0000
ChronosBolt-Base,balanced,97,366670,12.7902,1.9544,0.9993919,0.0608,0.3941,35.0515,4.6153
ChronosBolt-Base,aggressive,97,366670,19.9864,4.0520,0.9980837,0.1916,0.9892,37.1134,8.2634
ChronosBolt-Base,extreme,97,366670,42.1635,15.9350,1.0000773,-0.0077,5.6285,32.9897,24.8640
ChronosBolt-Base,very_extreme,97,366670,48.6015,20.7075,1.0006950,-0.0695,7.8864,36.0825,30.5707
FlowState-R1,conservative,97,366912,34.3003,18.8969,1.0032990,-0.3299,5.5782,28.8660,17.0536
FlowState-R1,balanced,97,366912,34.3003,18.8969,1.0032990,-0.3299,5.5782,28.8660,17.0536
FlowState-R1,aggressive,97,366912,42.1891,27.5828,1.0037530,-0.3753,7.3811,34.0206,25.1092
FlowState-R1,extreme,97,366912,42.4401,38.2305,1.0061518,-0.6152,8.7912,36.0825,35.4834
FlowState-R1,very_extreme,97,366912,43.2109,48.2981,1.0084421,-0.8442,10.3008,40.2062,45.7607
Moirai2-Small,conservative,97,366912,5.6785,7.7637,0.9998291,0.0171,0.5385,27.8351,7.6184
Moirai2-Small,balanced,97,366912,9.8495,12.1507,0.9998844,0.0116,1.0035,25.7732,11.7446
Moirai2-Small,aggressive,97,366912,21.9287,25.6518,0.9999292,0.0071,2.3720,39.1753,24.5777
Moirai2-Small,extreme,97,366912,58.6827,61.9988,1.0009427,-0.0943,8.7168,44.3299,60.6310
Moirai2-Small,very_extreme,97,366912,64.2007,70.1267,1.0035182,-0.3518,11.1626,41.2371,69.0149
PatchTST-FM-R1,conservative,97,366912,8.4682,4.5326,1.0000640,-0.0064,0.3780,23.7113,4.4430
PatchTST-FM-R1,balanced,97,366912,16.3968,8.4497,1.0000531,-0.0053,1.0474,23.7113,8.2443
PatchTST-FM-R1,aggressive,97,366912,27.8219,16.5553,1.0002569,-0.0257,2.2668,24.7423,16.1672
PatchTST-FM-R1,extreme,97,366912,42.2499,43.3964,1.0056039,-0.5604,6.5768,25.7732,43.1327
PatchTST-FM-R1,very_extreme,97,366912,44.8197,49.8917,1.0074689,-0.7469,7.5841,23.7113,49.8283
Sundial-Base-128M,conservative,97,366750,0.3463,0.0018,0.9999982,0.0002,0.0003,15.4639,0.0151
Sundial-Base-128M,balanced,97,366750,41.5114,0.7241,1.0004845,-0.0485,3.8500,25.7732,6.0191
Sundial-Base-128M,aggressive,97,366750,42.2983,1.0249,1.0014036,-0.1404,4.3520,23.7113,8.5344
Sundial-Base-128M,extreme,97,366750,55.5397,3.5663,1.0013532,-0.1353,11.8179,35.0515,29.9556
Sundial-Base-128M,very_extreme,97,366750,60.4229,4.9293,1.0045504,-0.4550,16.1502,38.1443,41.5566
TimesFM2.5-200M,conservative,97,366567,2.5188,2.5470,0.9999860,0.0014,0.1176,26.8041,2.5610
TimesFM2.5-200M,balanced,97,366567,12.1599,6.8653,1.0000793,-0.0079,0.3939,27.8351,6.7164
TimesFM2.5-200M,aggressive,97,366567,25.3250,16.4261,1.0004873,-0.0487,1.2994,31.9588,16.0933
TimesFM2.5-200M,extreme,97,366567,51.6219,58.6883,1.0049555,-0.4956,7.5839,30.9278,58.4903
TimesFM2.5-200M,very_extreme,97,366567,59.9926,70.6205,1.0090015,-0.9002,11.2678,35.0515,70.7847
TiRex2,conservative,97,352115,2.4415,2.0356,1.0000240,-0.0024,0.1903,21.6495,2.5371
TiRex2,balanced,97,352115,6.6311,4.8176,1.0000666,-0.0067,0.4530,25.7732,6.0034
TiRex2,aggressive,97,352115,15.6233,11.9711,1.0003657,-0.0366,1.3089,25.7732,14.9177
TiRex2,extreme,97,352115,46.8390,44.6622,1.0061600,-0.6160,7.9971,22.6804,55.6738
TiRex2,very_extreme,97,352115,59.4431,53.3376,1.0124316,-1.2432,11.4358,16.4948,66.4771
Toto-2.0-313m,conservative,97,366818,0.0294,0.0147,1.0000071,-0.0007,0.0068,1.0309,0.0153
Toto-2.0-313m,balanced,97,366818,0.0294,0.0147,1.0000071,-0.0007,0.0068,1.0309,0.0153
Toto-2.0-313m,aggressive,97,366818,23.1671,17.7435,1.0019022,-0.1902,4.5619,13.4021,18.5710
Toto-2.0-313m,extreme,97,366818,35.6327,36.2044,1.0075846,-0.7585,7.9355,24.7423,38.0250
Toto-2.0-313m,very_extreme,97,366818,42.1424,44.0178,1.0091393,-0.9139,9.7683,26.8041,46.2563
