cell,window,mase,naive_mase,normalized_mase,flops,flops_weighting,is_native,within_cell_pareto
JenaWeather-10T/tshort,native,0.2850478502382981,0.7428874675800381,0.3837025965276326,64674164736.0,cell,True,False
JenaWeather-10T/tshort,32,0.3906893159598986,0.7428874675800381,0.5259064569127437,704987136.0,cell,False,True
JenaWeather-10T/tshort,48,0.38687139641822,0.7428874675800381,0.5207671596324767,821035008.0,cell,False,True
JenaWeather-10T/tshort,64,0.34507487188888686,0.7428874675800381,0.4645049041047509,937119744.0,cell,False,True
JenaWeather-10T/tshort,96,0.335505786879648,0.7428874675800381,0.4516239693375913,1169399808.0,cell,False,True
JenaWeather-10T/tshort,128,0.34704307610774915,0.7428874675800381,0.4671543016309654,1401827328.0,cell,False,False
JenaWeather-10T/tshort,192,0.32665135832033354,0.7428874675800381,0.4397050328287311,1867124736.0,cell,False,True
JenaWeather-10T/tshort,256,0.3239153673619342,0.7428874675800381,0.4360221184200228,2333011968.0,cell,False,True
JenaWeather-10T/tshort,384,0.31234274422851854,0.7428874675800381,0.4204442231957117,3266555904.0,cell,False,True
JenaWeather-10T/tshort,512,0.31427291824108794,0.7428874675800381,0.42304242830321864,4202459136.0,cell,False,False
JenaWeather-10T/tshort,768,0.32045345554718485,0.7428874675800381,0.43136204274796097,6081343488.0,cell,False,False
JenaWeather-10T/tshort,1024,0.31884030584209827,0.7428874675800381,0.42919058371077806,7969665024.0,cell,False,False
JenaWeather-10T/tshort,1536,0.30561869302351113,0.7428874675800381,0.4113929852916573,11774619648.0,cell,False,True
JenaWeather-10T/tshort,2048,0.29242125068646724,0.7428874675800381,0.39362792273105884,15617323008.0,cell,False,True
JenaWeather-10T/tshort,2560,0.29325253797859224,0.7428874675800381,0.39474691763729,19497775104.0,cell,False,False
JenaWeather-10T/tshort,3072,0.2942748831812079,0.7428874675800381,0.39612309538591456,23415975936.0,cell,False,False
JenaWeather-10T/tshort,4096,0.2872931994258202,0.7428874675800381,0.3867250585902063,31365623808.0,cell,False,True
JenaWeather-10T/tshort,6144,0.28598429080564886,0.7428874675800381,0.3849631381415613,47717904384.0,cell,False,True
JenaWeather-10T/tshort,8192,0.2850478501364609,0.7428874675800381,0.38370259639054966,64674164736.0,cell,False,True
JenaWeather-10T/tmedium,native,0.623554745756383,0.7160100391723763,0.8708743057250137,68413280256.0,cell,True,False
JenaWeather-10T/tmedium,32,0.7430790473131879,0.7160100391723763,1.0378053472156623,3936485376.0,cell,False,True
JenaWeather-10T/tmedium,48,0.6991236952987924,0.7160100391723763,0.9764160515219835,4053528576.0,cell,False,True
JenaWeather-10T/tmedium,64,0.6714638350295641,0.7160100391723763,0.9377855034067646,4170608640.0,cell,False,True
JenaWeather-10T/tmedium,96,0.6618437211246193,0.7160100391723763,0.9243497785165598,4404879360.0,cell,False,True
JenaWeather-10T/tmedium,128,0.6711337905754371,0.7160100391723763,0.9373245539283068,4639297536.0,cell,False,False
JenaWeather-10T/tmedium,192,0.6520197744952855,0.7160100391723763,0.9106293750419253,5108576256.0,cell,False,True
JenaWeather-10T/tmedium,256,0.6361918072180864,0.7160100391723763,0.8885235854422511,5578444800.0,cell,False,True
JenaWeather-10T/tmedium,384,0.6577911073026271,0.7160100391723763,0.9186897827060589,6519951360.0,cell,False,False
JenaWeather-10T/tmedium,512,0.6522697442860952,0.7160100391723763,0.9109784899664851,7463817216.0,cell,False,False
JenaWeather-10T/tmedium,768,0.6375803104783094,0.7160100391723763,0.8904628086154736,9358626816.0,cell,False,False
JenaWeather-10T/tmedium,1024,0.6278703115319614,0.7160100391723763,0.8769015477181101,11262873600.0,cell,False,True
JenaWeather-10T/tmedium,1536,0.6385154422263658,0.7160100391723763,0.8917688402308086,15099678720.0,cell,False,False
