cell,window,mase,naive_mase,normalized_mase,flops,flops_weighting,is_native,within_cell_pareto
JenaWeather-10T/tshort,native,0.2604041897190025,0.7428874675800381,0.3505297923079403,140467609600.0,cell,True,False
JenaWeather-10T/tshort,32,0.46154127947762386,0.7428874675800381,0.6212802067870364,1259315200.0,cell,False,True
JenaWeather-10T/tshort,48,0.43072519652675967,0.7428874675800381,0.579798711546246,1511424000.0,cell,False,True
JenaWeather-10T/tshort,64,0.40591561836593093,0.7428874675800381,0.5464025657724505,1763614720.0,cell,False,True
JenaWeather-10T/tshort,96,0.3632035332427288,0.7428874675800381,0.48890787514004946,2268241920.0,cell,False,True
JenaWeather-10T/tshort,128,0.3754763798342204,0.7428874675800381,0.505428340388266,2773196800.0,cell,False,False
JenaWeather-10T/tshort,192,0.3407327572693163,0.7428874675800381,0.45865998840881783,3784089600.0,cell,False,True
JenaWeather-10T/tshort,256,0.3172234828725121,0.7428874675800381,0.4270141800963074,4796293120.0,cell,False,True
JenaWeather-10T/tshort,384,0.3034764806198262,0.7428874675800381,0.4085093555399491,6824632320.0,cell,False,True
JenaWeather-10T/tshort,512,0.30006519257826975,0.7428874675800381,0.4039174244730962,8858214400.0,cell,False,True
JenaWeather-10T/tshort,768,0.301894573593826,0.7428874675800381,0.4063799522385941,12941107200.0,cell,False,False
JenaWeather-10T/tshort,1024,0.30331757007555005,0.7428874675800381,0.40829544623172803,17044971520.0,cell,False,False
JenaWeather-10T/tshort,1536,0.2919509525270988,0.7428874675800381,0.39299485489791797,25315614720.0,cell,False,True
JenaWeather-10T/tshort,2048,0.27511581317048706,0.7428874675800381,0.37033309239510936,33670144000.0,cell,False,True
JenaWeather-10T/tshort,2560,0.2696550105990004,0.7428874675800381,0.3629823120820758,42108559360.0,cell,False,True
JenaWeather-10T/tshort,3072,0.26862585847284876,0.7428874675800381,0.3615969715411941,50630860800.0,cell,False,True
JenaWeather-10T/tshort,4096,0.26759826773753037,0.7428874675800381,0.3602137327867892,67927121920.0,cell,False,True
JenaWeather-10T/tshort,6144,0.2676471639971167,0.7428874675800381,0.3602795519878394,103526277120.0,cell,False,False
JenaWeather-10T/tshort,8192,0.26040418831340045,0.7428874675800381,0.35052979041586096,140467609600.0,cell,False,True
JenaWeather-10T/tmedium,native,0.5874848543725855,0.7160100391723763,0.8204980687863667,148431339520.0,cell,True,False
JenaWeather-10T/tmedium,32,0.7577930056136878,0.7160100391723763,1.0583552801712217,8095006720.0,cell,False,True
JenaWeather-10T/tmedium,48,0.7901445136769983,0.7160100391723763,1.1035383171307387,8349327360.0,cell,False,False
JenaWeather-10T/tmedium,64,0.7898434155078486,0.7160100391723763,1.103117794857758,8603729920.0,cell,False,False
JenaWeather-10T/tmedium,96,0.8958115729639314,0.7160100391723763,1.2511159396583107,9112780800.0,cell,False,False
JenaWeather-10T/tmedium,128,0.8396868775631767,0.7160100391723763,1.1727305926237521,9622159360.0,cell,False,False
JenaWeather-10T/tmedium,192,0.7887012917452216,0.7160100391723763,1.101522672303405,10641899520.0,cell,False,False
JenaWeather-10T/tmedium,256,0.6643870680486414,0.7160100391723763,0.9279018892201498,11662950400.0,cell,False,True
JenaWeather-10T/tmedium,384,0.6469346311117098,0.7160100391723763,0.9035273190575518,13708984320.0,cell,False,True
JenaWeather-10T/tmedium,512,0.6391143079711004,0.7160100391723763,0.8926052331750007,15760261120.0,cell,False,True
JenaWeather-10T/tmedium,768,0.6387919118821606,0.7160100391723763,0.8921549656210536,19878543360.0,cell,False,True
JenaWeather-10T/tmedium,1024,0.6152750964401735,0.7160100391723763,0.8593107118321406,24017797120.0,cell,False,True
JenaWeather-10T/tmedium,1536,0.615658682635759,0.7160100391723763,0.8598464392306402,32359219200.0,cell,False,False
JenaWeather-10T/tmedium,2048,0.6002211994489289,0.7160100391723763,0.8382860108256504,40784527360.0,cell,False,True
JenaWeather-10T/tmedium,2560,0.5918597059554889,0.7160100391723763,0.8266081110253836,49293721600.0,cell,False,True
JenaWeather-10T/tmedium,3072,0.585866408907854,0.7160100391723763,0.8182377017856439,57886801920.0,cell,False,True
JenaWeather-10T/tmedium,4096,0.5777546570469622,0.7160100391723763,0.8069085982576151,75324620800.0,cell,False,True
JenaWeather-10T/tmedium,6144,0.5804072760499399,0.7160100391723763,0.8106133214568091,111206891520.0,cell,False,False
JenaWeather-10T/tmedium,8192,0.587484853140952,0.7160100391723763,0.8204980670662323,148431339520.0,cell,False,False
JenaWeather-10T/tlong,native,0.6463358862791379,0.7614923703210493,0.8487752621955216,152881438720.0,cell,True,False
JenaWeather-10T/tlong,32,0.7819587532500363,0.7614923703210493,1.0268766749696496,11918417920.0,cell,False,True
JenaWeather-10T/tlong,48,0.7283541335956355,0.7614923703210493,0.9564825098491235,12173967360.0,cell,False,True
JenaWeather-10T/tlong,64,0.8080111700976248,0.7614923703210493,1.061088989974992,12429598720.0,cell,False,False
JenaWeather-10T/tlong,96,0.82383877295059,0.7614923703210493,1.0818739688793666,12941107200.0,cell,False,False
JenaWeather-10T/tlong,128,0.7221695909040794,0.7614923703210493,0.9483609016326832,13452943360.0,cell,False,True
JenaWeather-10T/tlong,192,0.7409946338966978,0.7614923703210493,0.9730821512818184,14477598720.0,cell,False,False
JenaWeather-10T/tlong,256,0.7722333844188436,0.7614923703210493,1.0141052156481434,15503564800.0,cell,False,False
JenaWeather-10T/tlong,384,0.7082109354054101,0.7614923703210493,0.9300302445667638,17559429120.0,cell,False,True
JenaWeather-10T/tlong,512,0.6602319814323379,0.7614923703210493,0.8670237643405153,19620536320.0,cell,False,True
JenaWeather-10T/tlong,768,0.6496803616992437,0.7614923703210493,0.8531672634163556,23758479360.0,cell,False,True
JenaWeather-10T/tlong,1024,0.6418714435441414,0.7614923703210493,0.8429125078082199,27917393920.0,cell,False,True
JenaWeather-10T/tlong,1536,0.6341579326573192,0.7614923703210493,0.832783042054584,36298137600.0,cell,False,True
JenaWeather-10T/tlong,2048,0.6175880833892962,0.7614923703210493,0.8110233371463954,44762767360.0,cell,False,True
JenaWeather-10T/tlong,2560,0.6073352331910563,0.7614923703210493,0.797559183600225,53311283200.0,cell,False,True
JenaWeather-10T/tlong,3072,0.6041768771112086,0.7614923703210493,0.793411596305928,61943685120.0,cell,False,True
JenaWeather-10T/tlong,4096,0.6112469823193651,0.7614923703210493,0.8026961347776342,79460147200.0,cell,False,False
JenaWeather-10T/tlong,6144,0.6021780664067133,0.7614923703210493,0.7907867365142894,115499704320.0,cell,False,True
JenaWeather-10T/tlong,8192,0.6463358873399186,0.7614923703210493,0.8487752635885504,152881438720.0,cell,False,False
JenaWeather-H/tshort,native,0.5213262109338483,0.7229102185557323,0.7211493177885644,139279125018.94736,cell,True,True
JenaWeather-H/tshort,32,0.7554687796822649,0.7229102185557323,1.0450381808014553,1259315200.0,cell,False,True
JenaWeather-H/tshort,48,0.7184699512187813,0.7229102185557323,0.9938577886672815,1511424000.0,cell,False,True
JenaWeather-H/tshort,64,0.7074570856740957,0.7229102185557323,0.9786237177384078,1763614720.0,cell,False,True
JenaWeather-H/tshort,96,0.650456739673421,0.7229102185557323,0.8997752735781455,2268241920.0,cell,False,True
JenaWeather-H/tshort,128,0.6029289844003474,0.7229102185557323,0.8340302418257557,2773196800.0,cell,False,True
JenaWeather-H/tshort,192,0.5631648939837646,0.7229102185557323,0.7790246693550475,3784089600.0,cell,False,True
JenaWeather-H/tshort,256,0.5341436636947939,0.7229102185557323,0.7388796699567118,4796293120.0,cell,False,True
JenaWeather-H/tshort,384,0.5399064564322515,0.7229102185557323,0.7468513275561449,6824632320.0,cell,False,False
JenaWeather-H/tshort,512,0.5356910805169373,0.7229102185557323,0.741020207996463,8858214400.0,cell,False,False
JenaWeather-H/tshort,768,0.5304608440791203,0.7229102185557323,0.7337852342700351,12941107200.0,cell,False,True
JenaWeather-H/tshort,1024,0.5273677904207612,0.7229102185557323,0.7295066204408676,17044971520.0,cell,False,True
JenaWeather-H/tshort,1536,0.5263310307885145,0.7229102185557323,0.7280724732872722,25315614720.0,cell,False,True
JenaWeather-H/tshort,2048,0.5279972114662927,0.7229102185557323,0.7303772970883619,33670144000.0,cell,False,False
JenaWeather-H/tshort,2560,0.5275016259566369,0.7229102185557323,0.7296917548219294,42108559360.0,cell,False,False
JenaWeather-H/tshort,3072,0.5247486835249004,0.7229102185557323,0.7258836160502347,50630860800.0,cell,False,True
JenaWeather-H/tshort,4096,0.5248385977803022,0.7229102185557323,0.7260079942276263,67927121920.0,cell,False,False
JenaWeather-H/tshort,6144,0.5227875285612789,0.7229102185557323,0.7231707550153752,103526277120.0,cell,False,True
JenaWeather-H/tshort,8192,0.5226731098731366,0.7229102185557323,0.7230124799139791,140467609600.0,cell,False,False
JenaWeather-H/tmedium,native,0.7339811394135489,0.8886133410507664,0.8259848299662391,145037496320.0,cell,True,True
JenaWeather-H/tmedium,32,0.8730355938857961,0.8886133410507664,0.9824696001676613,8095006720.0,cell,False,True
JenaWeather-H/tmedium,48,0.8423763587575016,0.8886133410507664,0.9479672652240506,8349327360.0,cell,False,True
JenaWeather-H/tmedium,64,0.8489056410606002,0.8886133410507664,0.9553149855445421,8603729920.0,cell,False,False
JenaWeather-H/tmedium,96,0.8086118895403966,0.8886133410507664,0.9099704586746697,9112780800.0,cell,False,True
JenaWeather-H/tmedium,128,0.795898718323868,0.8886133410507664,0.8956637060869858,9622159360.0,cell,False,True
JenaWeather-H/tmedium,192,1.0039106980499968,0.8886133410507664,1.1297497479194873,10641899520.0,cell,False,False
JenaWeather-H/tmedium,256,0.8278315749566242,0.8886133410507664,0.9315993095239049,11662950400.0,cell,False,False
JenaWeather-H/tmedium,384,0.7957109408909582,0.8886133410507664,0.8954523909691102,13708984320.0,cell,False,True
JenaWeather-H/tmedium,512,0.835388340387218,0.8886133410507664,0.9401033067986454,15760261120.0,cell,False,False
JenaWeather-H/tmedium,768,0.8026439575609123,0.8886133410507664,0.9032544532943911,19878543360.0,cell,False,False
JenaWeather-H/tmedium,1024,0.8400655125157621,0.8886133410507664,0.9453667570671429,24017797120.0,cell,False,False
JenaWeather-H/tmedium,1536,0.8069508195278167,0.8886133410507664,0.9081011754489466,32359219200.0,cell,False,False
JenaWeather-H/tmedium,2048,0.783636382022854,0.8886133410507664,0.8818643000522822,40784527360.0,cell,False,True
JenaWeather-H/tmedium,2560,0.8018942599221566,0.8886133410507664,0.9024107819199897,49293721600.0,cell,False,False
JenaWeather-H/tmedium,3072,0.7943613217188571,0.8886133410507664,0.8939335985880448,57886801920.0,cell,False,False
JenaWeather-H/tmedium,4096,0.7995175924217124,0.8886133410507664,0.8997362018854003,75324620800.0,cell,False,False
JenaWeather-H/tmedium,6144,0.7634350355581189,0.8886133410507664,0.8591307380726168,111206891520.0,cell,False,True
JenaWeather-H/tmedium,8192,0.7433424069427811,0.8886133410507664,0.8365195215995682,148431339520.0,cell,False,False
JenaWeather-H/tlong,native,0.8166923151918122,1.267717847392006,0.644222463911777,143873003520.0,cell,True,True
JenaWeather-H/tlong,32,1.294590396598914,1.267717847392006,1.0211975789898289,11918417920.0,cell,False,True
JenaWeather-H/tlong,48,1.234683101489456,1.267717847392006,0.9739415628087035,12173967360.0,cell,False,True
JenaWeather-H/tlong,64,1.2154947204314885,1.267717847392006,0.9588054021106094,12429598720.0,cell,False,True
JenaWeather-H/tlong,96,1.1956347008320198,1.267717847392006,0.9431394401299324,12941107200.0,cell,False,True
JenaWeather-H/tlong,128,1.153564474403606,1.267717847392006,0.9099536436887431,13452943360.0,cell,False,True
JenaWeather-H/tlong,192,1.1387584970847777,1.267717847392006,0.898274406586191,14477598720.0,cell,False,True
JenaWeather-H/tlong,256,1.180873516544857,1.267717847392006,0.9314955366244876,15503564800.0,cell,False,False
JenaWeather-H/tlong,384,1.047601897615367,1.267717847392006,0.8263683435320648,17559429120.0,cell,False,True
JenaWeather-H/tlong,512,1.074036895883155,1.267717847392006,0.8472207740016452,19620536320.0,cell,False,False
JenaWeather-H/tlong,768,1.0614948886719595,1.267717847392006,0.8373273996699694,23758479360.0,cell,False,False
JenaWeather-H/tlong,1024,1.0908620973132848,1.267717847392006,0.8604928135684489,27917393920.0,cell,False,False
JenaWeather-H/tlong,1536,1.0732315128603458,1.267717847392006,0.8465854725231136,36298137600.0,cell,False,False
JenaWeather-H/tlong,2048,1.0944789795234293,1.267717847392006,0.8633458791915174,44762767360.0,cell,False,False
