model,n_cells,native_normalized_mase,cell_oracle_normalized_mase,relative_mase_change_pct,cell_balanced_flops_saved_pct,cells_improved,n_supported_points,no_worse_than_native_flops_saved_pct,frontier_status
Chronos2-Base,97,0.7047375232,0.6908711979,-1.967587,40.906130,67,487,82.467406,complete
Chronos2-Small,97,0.7267075983,0.7046859154,-3.030336,52.915631,72,476,84.993392,complete
Chronos2-Synth,97,0.7352280546,0.7156502320,-2.662823,45.488370,65,474,83.380122,complete
ChronosBolt-Base,97,0.8095856948,0.7747922342,-4.297687,29.016816,58,402,75.872719,complete
FlowState-R1,97,0.7090006691,0.6964589287,-1.768932,37.264995,64,467,74.238985,complete
Moirai2-Small,97,0.7377783513,0.7137656444,-3.254732,51.984797,77,483,89.403134,complete
PatchTST-FM-R1,97,0.7045267800,0.6951509834,-1.330793,29.062692,46,541,68.253245,complete
Sundial-Base-128M,97,0.7507495222,0.7251334876,-3.412061,5.794363,68,474,12.724569,complete
TiRex2,97,0.6966887535,0.6897480127,-0.996247,22.517826,48,541,59.822395,complete
TimesFM2.5-200M,97,0.7050399598,0.6929677420,-1.712274,37.104891,60,515,82.193079,complete
Toto-2.0-313m,97,0.7039989334,0.6932473804,-1.527212,21.768437,47,499,63.068685,complete
