model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
Chronos2-Base,synthetic,synth_42_0,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6178529392927885,0.522363843396306,-0.09548909589648247,0.1114501953125,,,42,8192,64,mae,0.07528655066410764,,
Chronos2-Base,synthetic,synth_42_1,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.18456040602177382,0.18610563781112432,0.0015452317893505096,0.009521484375,,,42,8192,64,mae,0.007116788320336726,,
Chronos2-Base,synthetic,synth_42_2,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.4211936099891318,0.31348237399652135,-0.10771123599261045,0.246795654296875,,,42,8192,64,mae,0.5124516822366293,,
Chronos2-Base,synthetic,synth_42_3,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7438777647184907,0.7660335264372407,0.02215576171875,0.02911376953125,,,42,8192,64,mae,0.023287604351920312,,
Chronos2-Base,synthetic,synth_42_4,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.16469906715792604,0.1490761966269929,-0.015622870530933142,0.0518646240234375,,,42,8192,64,mae,0.22177998158221146,,
Chronos2-Base,synthetic,synth_42_5,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.3844651118270122,1.1662750043324195,-0.21819010749459267,0.22308349609375,,,42,8192,64,mae,0.23381525072936496,,
Chronos2-Base,synthetic,synth_42_7,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.1313895659986883,1.119668428087607,-0.011721137911081314,0.1131591796875,,,42,8192,64,mae,0.09542436562641998,,
Chronos2-Base,synthetic,synth_42_8,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.29893737379461527,0.3134881849400699,0.014550811145454645,0.0265960693359375,,,42,8192,64,mae,0.1455532357836772,,
Chronos2-Base,synthetic,synth_42_9,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7204664792843687,0.5250805314608442,-0.19538594782352448,0.386474609375,,,42,8192,64,mae,0.2540115532473416,,
Chronos2-Base,synthetic,synth_42_10,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.19707621866837144,0.1931871403940022,-0.00388907827436924,0.03192138671875,,,42,8192,64,mae,0.04074160628618069,,
