model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
Chronos2-Small,synthetic,synth_42_0,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6357972752302885,0.5263818260282278,-0.1094154492020607,0.11669921875,,,42,8192,64,mae,0.07786284410330148,,
Chronos2-Small,synthetic,synth_42_1,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.18492661695927382,0.18407212477177382,-0.0008544921875,0.0111083984375,,,42,8192,64,mae,0.008309743401457724,,
Chronos2-Small,synthetic,synth_42_2,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.43322326899215113,0.43215515375777613,-0.001068115234375,0.018096923828125,,,42,8192,64,mae,0.03501210366775332,,
Chronos2-Small,synthetic,synth_42_3,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7690511196124135,0.7945211193728028,0.025469999760389328,0.08636474609375,,,42,8192,64,mae,0.06974910040032742,,
Chronos2-Small,synthetic,synth_42_4,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.16755246071261354,0.14955604847637005,-0.017996412236243486,0.05914306640625,,,42,8192,64,mae,0.25969849228413316,,
Chronos2-Small,synthetic,synth_42_5,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.6909836665145122,1.3098801508895122,-0.381103515625,0.39453125,,,42,8192,64,mae,0.30861780850847165,,
Chronos2-Small,synthetic,synth_42_7,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.197891135001555,1.2772326099220663,0.07934147492051125,0.22265625,,,42,8192,64,mae,0.1941561551707361,,
Chronos2-Small,synthetic,synth_42_8,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.2796803694218397,0.2963186390697956,0.016638269647955894,0.05072784423828125,,,42,8192,64,mae,0.2321659274152464,,
Chronos2-Small,synthetic,synth_42_9,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.7388610053785669,0.6073704767950403,-0.1314905285835266,0.181884765625,,,42,8192,64,mae,0.11851734010883692,,
Chronos2-Small,synthetic,synth_42_10,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.19615840213373303,0.18317896919324994,-0.012979432940483093,0.049072265625,,,42,8192,64,mae,0.0632523011437396,,
