model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
Chronos2-Synth,synthetic,synth_42_0,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6420228611677885,0.3761340379714966,-0.2658888231962919,0.8055877685546875,,,42,8192,64,mae,0.5354462474088949,,
Chronos2-Synth,synthetic,synth_42_1,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.18456040602177382,0.19577160384505987,0.011211197823286057,0.036865234375,,,42,8192,64,mae,0.027615215797791928,,
Chronos2-Synth,synthetic,synth_42_2,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.4220175845985068,0.4185690982703818,-0.003448486328125,0.014190673828125,,,42,8192,64,mae,0.02967453732278662,,
Chronos2-Synth,synthetic,synth_42_3,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.6506035476195393,0.7066170274483738,0.056013479828834534,0.27447509765625,,,42,8192,64,mae,0.2600474179919204,,
Chronos2-Synth,synthetic,synth_42_4,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.1569081491616089,0.3319284071039874,0.17502025794237852,0.3806304931640625,,,42,8192,64,mae,1.5002706432090713,,
Chronos2-Synth,synthetic,synth_42_5,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,1.2712209210149013,1.0682601951411925,-0.20296072587370872,0.26982879638671875,,,42,8192,64,mae,0.3058370805407857,,
Chronos2-Synth,synthetic,synth_42_7,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.9155665340367705,1.5511497186962515,0.635583184659481,1.0184326171875,,,42,8192,64,mae,0.9915027629367018,,
Chronos2-Synth,synthetic,synth_42_8,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.29025476751849055,0.6572069185785949,0.36695215106010437,0.5829949378967285,,,42,8192,64,mae,2.5267612078649537,,
Chronos2-Synth,synthetic,synth_42_9,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.8237307738490927,0.6293241042621958,-0.1944066695868969,0.30438232421875,,,42,8192,64,mae,0.1851150705095065,,
Chronos2-Synth,synthetic,synth_42_10,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.16546910488978028,0.16801893757656217,0.0025498326867818832,0.02362060546875,,,42,8192,64,mae,0.03282164361936872,,
Chronos2-Synth,synthetic,synth_42_11,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,0.05926806293427944,0.0972397681325674,0.037971705198287964,0.098388671875,,,42,8192,64,mae,0.06120899148858236,,
Chronos2-Synth,synthetic,synth_42_12,8192,32,32,8192,context_decomposition,attention_mask/full_history_stats,,5.796081596869044,6.7868825810728595,0.9908009842038155,1.427490234375,,,42,8192,64,mae,0.3237003819848769,,
