model,dataset,sample_id,context_length,block_index,lookback_start,lookback_end,method,perturbation_type,layer,clean_loss,intervened_loss,loss_delta,prediction_distance,recovery_score,attribution_score,seed,requested_context_length,horizon,metric,prediction_distance_norm,severity,loss_recovery
ChronosBolt-Base,synthetic,synth_42_0,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.6477194838225842,0.5052546989172697,-0.14246478490531445,0.15502032451331615,,,42,2048,64,mae,0.10259010130913636,,
ChronosBolt-Base,synthetic,synth_42_1,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.17416421230882406,0.22377033066004515,0.049606118351221085,0.1516651138663292,,,42,2048,64,mae,0.11841806209767615,,
ChronosBolt-Base,synthetic,synth_42_2,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.41647622459277045,0.40581582770391833,-0.01066039688885212,0.06563504133373499,,,42,2048,64,mae,0.14462240637610005,,
ChronosBolt-Base,synthetic,synth_42_3,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.7528968955593882,0.7546149249392329,0.0017180293798446655,0.32074425369501114,,,42,2048,64,mae,0.2805558180001246,,
ChronosBolt-Base,synthetic,synth_42_4,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.14896835389663465,0.49539006475242786,0.3464217108557932,0.4596104465890676,,,42,2048,64,mae,1.658809771282883,,
ChronosBolt-Base,synthetic,synth_42_5,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,1.4823341299197637,1.2773819479043595,-0.2049521820154041,0.2217509753536433,,,42,2048,64,mae,0.2099533456659882,,
ChronosBolt-Base,synthetic,synth_42_7,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,1.4393372836057097,1.8724473419133574,0.4331100583076477,0.7553646303713322,,,42,2048,64,mae,0.49750537422797064,,
ChronosBolt-Base,synthetic,synth_42_8,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.31225436297245324,0.32578850258141756,0.013534139608964324,0.05900049046613276,,,42,2048,64,mae,0.311107696706501,,
ChronosBolt-Base,synthetic,synth_42_9,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.7773584570713865,0.4916761439271795,-0.285682313144207,0.43934586085379124,,,42,2048,64,mae,0.27495179790834073,,
ChronosBolt-Base,synthetic,synth_42_10,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.1721308403648436,0.16505368566140532,-0.007077154703438282,0.09572031442075968,,,42,2048,64,mae,0.13183226718298274,,
ChronosBolt-Base,synthetic,synth_42_11,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.06181303970515728,0.14517555013298988,0.0833625104278326,0.1267248596996069,,,42,2048,64,mae,0.0790927536540646,,
ChronosBolt-Base,synthetic,synth_42_12,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,4.7260402160463855,4.3265668543754146,-0.3994733616709709,0.4281497821211815,,,42,2048,64,mae,0.12819351912064322,,
ChronosBolt-Base,synthetic,synth_42_14,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.5193943037302233,0.6751694839331321,0.15577518020290881,0.2635689292801544,,,42,2048,64,mae,0.8063989239206395,,
ChronosBolt-Base,synthetic,synth_42_16,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.24264825403224677,0.2644002336310223,0.021751979598775506,0.18723488249816,,,42,2048,64,mae,0.6806966251314686,,
ChronosBolt-Base,synthetic,synth_42_17,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.046487290412187576,0.20005090814083815,0.15356361772865057,0.1661790506914258,,,42,2048,64,mae,0.17518869921739957,,
ChronosBolt-Base,synthetic,synth_42_18,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.24502575999940746,0.25048650658573024,0.005460746586322784,0.13562127185286954,,,42,2048,64,mae,1.1308332943853074,,
ChronosBolt-Base,synthetic,synth_42_19,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.12899780739098787,0.11044158693403006,-0.018556220456957817,0.022110017016530037,,,42,2048,64,mae,0.025494820379446587,,
ChronosBolt-Base,synthetic,synth_42_21,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.2821328474674374,0.32532758940942585,0.04319474194198847,0.10944969765841961,,,42,2048,64,mae,0.25093921055773083,,
ChronosBolt-Base,synthetic,synth_42_22,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,1.117643647827208,1.1798106282949448,0.06216698046773672,0.07412215415388346,,,42,2048,64,mae,0.09505788640078194,,
ChronosBolt-Base,synthetic,synth_42_23,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.5684006495284848,0.5773168852319941,0.008916235703509301,0.09258605254581198,,,42,2048,64,mae,1.5503232886017813,,
ChronosBolt-Base,synthetic,synth_42_24,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,1.4904872796032578,1.5567573325242847,0.06627005292102695,0.09198946319520473,,,42,2048,64,mae,0.20614422046433536,,
ChronosBolt-Base,synthetic,synth_42_25,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.5861997640095069,0.5061115965581848,-0.08008816745132208,0.13995822262950242,,,42,2048,64,mae,0.8152447450955398,,
ChronosBolt-Base,synthetic,synth_42_26,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.11488132167971798,0.22017408493309176,0.10529276325337378,0.16261260415194556,,,42,2048,64,mae,2.548776286558718,,
ChronosBolt-Base,synthetic,synth_42_27,2048,32,32,2048,context_decomposition,attention_mask/full_history_stats,,0.6788362353836419,0.6411939878744306,-0.0376422475092113,0.12401623232290149,,,42,2048,64,mae,0.30602573620968204,,
