variant,rank,trial_idx,synthetic_val_regret,real_nmase,real_relative_gain_pct,workload_flops_saved_pct
PatchTST,1,0,0.1919938922,0.7268810394,-0.0238667,59.1813
PatchTST,2,23,0.1948975027,0.7227202701,0.5486840,55.6661
PatchTST,3,24,0.1954032928,0.7259829352,0.0997187,67.4541
PatchTST,4,12,0.1960353255,0.7246649868,0.2810775,57.5544
PatchTST,5,7,0.1973720342,0.7259218776,0.1081206,61.1256
Mamba,1,18,0.1956354976,0.7243437216,0.3252858,58.0251
Mamba,2,24,0.1968856901,0.7325058178,-0.7978752,65.8544
Mamba,3,6,0.1991090477,0.7222213314,0.6173414,58.0776
Mamba,4,0,0.1992900074,0.7275167553,-0.1113456,36.9024
Mamba,5,7,0.2003071457,0.7260758937,0.0869269,43.6992
