variant,model,n_cells,n_instances,full_nmase,pred_nmase,relative_nmase_gain_pct,cell_flops_saved_pct,workload_flops_saved_pct,tsfm_wall_time_saved_pct,beats_full_cells
PatchTST,Chronos2-Base,97,371330,0.704737523,0.706319333,-0.224454,48.091641,55.288287,57.168673,39
PatchTST,Chronos2-Small,97,371330,0.726707598,0.726881039,-0.023867,43.229554,59.181320,51.355315,44
PatchTST,Chronos2-Synth,97,371330,0.735228055,0.739501534,-0.581245,40.775286,53.330502,56.617486,34
PatchTST,ChronosBolt-Base,97,371330,0.809585695,0.811484677,-0.234562,12.112339,11.016633,7.115263,51
PatchTST,FlowState-R1,97,371330,0.709000669,0.711780448,-0.392070,27.552261,42.411673,43.407834,42
PatchTST,Moirai2-Small,97,371330,0.737778351,0.735748442,0.275138,61.943316,66.635763,74.316792,43
PatchTST,PatchTST-FM-R1,97,371330,0.704526780,0.725728468,-3.009352,41.875244,54.290412,26.042105,31
PatchTST,Sundial-Base-128M,97,371330,0.750749522,0.746501868,0.565788,22.257091,19.794782,23.697270,49
PatchTST,TiRex2,97,371330,0.696688754,0.708561654,-1.704190,34.538068,6.731003,40.385355,33
PatchTST,TimesFM2.5-200M,97,371330,0.705039960,0.714149246,-1.292024,44.833546,48.410555,50.475989,38
PatchTST,Toto-2.0-313m,97,371330,0.703998933,0.707207384,-0.455746,16.328860,3.419261,28.922452,32
Mamba,Chronos2-Base,97,371330,0.704737523,0.706543591,-0.256275,32.663040,42.829116,47.757796,42
Mamba,Chronos2-Small,97,371330,0.726707598,0.724343722,0.325286,56.492235,58.025099,52.616982,54
Mamba,Chronos2-Synth,97,371330,0.735228055,0.738399204,-0.431315,34.586704,31.510847,36.633732,34
Mamba,ChronosBolt-Base,97,371330,0.809585695,0.820555577,-1.355000,27.480149,20.996153,29.434934,37
Mamba,FlowState-R1,97,371330,0.709000669,0.713911767,-0.692679,27.284682,45.590362,45.265081,39
Mamba,Moirai2-Small,97,371330,0.737778351,0.731957563,0.788962,65.166546,62.927696,53.456215,48
Mamba,PatchTST-FM-R1,97,371330,0.704526780,0.717956559,-1.906213,22.983175,47.586863,26.697548,31
Mamba,Sundial-Base-128M,97,371330,0.750749522,0.756258584,-0.733808,17.634869,12.420613,22.638936,45
Mamba,TiRex2,97,371330,0.696688754,0.709750348,-1.874811,31.413656,13.524374,38.601102,31
Mamba,TimesFM2.5-200M,97,371330,0.705039960,0.713009430,-1.130357,46.858436,42.423355,44.953760,34
Mamba,Toto-2.0-313m,97,371330,0.703998933,0.707561997,-0.506118,15.988861,3.798745,29.226662,27
